study_accession;first_public;study_title;project_name;run_accession;sample_accession;sample_title;sample_description;library_name;library_selection;library_source;library_strategy;library_construction_protocol;library_layout;rna_integrity_num;instrument_platform;rt_prep_protocol;cell_line;cell_type;tissue_lib;tissue_type;host_phenotype;isolate;age;host_body_site;description;note;origin;Gtex;;
PRJNA817436;24/12/2023;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;SRR18363119;SAMN26788808;20_PRE;20_PRE;GSM5960638;cDNA;TRANSCRIPTOMIC;RNA-Seq;Approximately 30 mg of adipose tissue was used for RNA extraction. Tissues were homogenized using TissueLyser (Qiagen) in 1 mL TRIzol (Sigma-Aldrich). Chloroform was added, samples were mixed, subjected to centrifugation, and the aqueous phase was transferred to a new tube. Thereafter, 1:1 70% ethanol was added, and the total volume was loaded on silica-membrane columns. RNA extraction was performed using a commercially available kit (Rneasy lipid tissue kit, Qiagen). RNA concentration and purity were assessed by absorbance at 260 and 280 nm using NanoDrop One (Thermo Fisher Scientific, Waltham, MA). Aliquots of RNA (300 ng) were analyzed using the Illumina TruSeq Stranded Total RNA with Ribo-Zero Gold protocol (Illumina) as described (ref). Ribosomal RNA was removed from the sample using 35 μl of rRNA removal beads (Illumina) on a magnetic plate followed by cleanup of the ribosomal-depleted RNA with 193 μl of Agencourt RNAClean XP beads (Beckman Coulter), 70% ethanol wash, and elution into 10 μl elution buffer (Illumina). The RNA sample was fragmented for 4 min at 94°C in Elute, Prime, Fragment High Mix (Illumina) and then subjected to first-strand cDNA synthesis with 1 μl of Superscript III reverse transcriptase (Life Technologies) per sample using a thermocycler programmed to 25°C for 10 min, 50°C for 15 min, and 70°C for 15 min. Second-strand cDNA was synthesized by addition of Second-Strand Marking Master Mix, and samples were incubated at 16°C for 60 min. Samples were subjected to another bead cleanup before A-tailing and ligation of adapters as per kit instructions (Illumina). Following a third bead cleanup, samples were enriched for DNA fragments by amplification using the Illumina polymerase chain reaction (PCR) Primer Cocktail and PCR Master Mix, subjected to 98°C for 30 min, followed by a predefined cycle (98°C for 10 s, 60°C for 30 s, and 72°C for 30 s) that was repeated 3 to 15 times, on the basis of each individual sample, and finally incubated for 5 min at 72°C. Samples were cleaned and validated for DNA concentration using the Qubit dsDNA HS assay kit (Invitrogen) and for base pair size and purity using the Agilent High Sensitivity DNA chip and Bioanalyzer instrument. 38-bp paired-end sequencing on a NextSeq500;PAIRED;;ILLUMINA;;;;;Adipose tissue biopsy;;;;;NextSeq 500 sequencing: GSM5960638: 20_PRE Homo sapiens RNA-Seq;;;Adipose;;
PRJNA819837;20/01/2023;Homo sapiens Raw sequence reads;Homo sapiens;SRR18572047;SAMN27020253;Human sample from Homo sapiens;Human sample from Homo sapiens;GSM5994510;cDNA;TRANSCRIPTOMIC;RNA-Seq;IPF patients were diagnosed based on multidisciplinary review and published criteria. Non-IPF donor lungs not suitable for transplantation were obtained from the Regional Organ Bank of Illinois. IPF lungs were grossly examined within 6-12 hours from the time of explant, and multiple 1cm3 biopsies were obtained from visibly non-fibrotic central (IPF.C) and fibrotic peripheral (IPF.P) areas. Non-IPF donor lung biopsies of central (CTR.C) and peripheral (CTR.P) were similarly obtained. H&E-stained biopsies were reviewed and confirmed by two clinical pathologists Total RNA was isolated using TRIzol (Invitrogen) following manufacturer's protocol. All RNA samples displayed RNA Integrity Number (RIN) >7. RNAseq including cDNA library preparation was processed at the Genomics Core Facility of University of Chicago (https://fgf.uchicago.edu/). Total RNA in the amount of 100-500µg per sample was depleted of ribosomal RNA using the Ribo-Zero kit (Epicentre, Madison, WI). The directional (first strand) cDNA libraries were prepared following the guide of TruSeq Stranded Total RNA Sample Preparation kit.;PAIRED;;ILLUMINA;;;;;lung;;D9C;;;Illumina HiSeq 4000 sequencing: GSM5994510: SmaC9C Homo sapiens RNA-Seq;Non fibrotic;healthy;Lung;;
PRJNA819837;20/01/2023;Homo sapiens Raw sequence reads;Homo sapiens;SRR18572057;SAMN27020243;Human sample from Homo sapiens;Human sample from Homo sapiens;GSM5994500;cDNA;TRANSCRIPTOMIC;RNA-Seq;IPF patients were diagnosed based on multidisciplinary review and published criteria. Non-IPF donor lungs not suitable for transplantation were obtained from the Regional Organ Bank of Illinois. IPF lungs were grossly examined within 6-12 hours from the time of explant, and multiple 1cm3 biopsies were obtained from visibly non-fibrotic central (IPF.C) and fibrotic peripheral (IPF.P) areas. Non-IPF donor lung biopsies of central (CTR.C) and peripheral (CTR.P) were similarly obtained. H&E-stained biopsies were reviewed and confirmed by two clinical pathologists Total RNA was isolated using TRIzol (Invitrogen) following manufacturer's protocol. All RNA samples displayed RNA Integrity Number (RIN) >7. RNAseq including cDNA library preparation was processed at the Genomics Core Facility of University of Chicago (https://fgf.uchicago.edu/). Total RNA in the amount of 100-500µg per sample was depleted of ribosomal RNA using the Ribo-Zero kit (Epicentre, Madison, WI). The directional (first strand) cDNA libraries were prepared following the guide of TruSeq Stranded Total RNA Sample Preparation kit.;PAIRED;;ILLUMINA;;;;;lung;;D3C;;;Illumina HiSeq 4000 sequencing: GSM5994500: SmaC3C Homo sapiens RNA-Seq;Non fibrotic;healthy;Lung;;
PRJNA486023;14/03/2019;Fudan University Shanghai Cancer Center Triple Negative Breast Cancer (FUSCCTNBC);Homo sapiens;SRR8518140;SAMN09836932;Human sample from Homo sapiens;Human sample from Homo sapiens;Lib_FUSCCTNBC041.PT;Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;;PAIRED;;ILLUMINA;;;;;Paired normal breast tissue;;FUSCCTNBC041;;;HiSeq X Ten sequencing: RNAseq of Homo sapiens: triple negative breast cancer from FUSCCTNBC project;;tumor-adjacent;Breast;;
PRJNA448679;26/06/2018;Time series integrative analysis of RNA-Seq and miRNA expression data reveals key biologic pathways during keloid formation;;SRR6937759;SAMN08863017;N4-1st;Keloid data set RNA-Seq;556;Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;;PAIRED;;ILLUMINA;;;;;skin;;N4;;;Illumina HiSeq 3000 sequencing: RNA Seq of Keloid skin;;;Skin;;
PRJNA716181;27/02/2023;Transcriptome sequencing data of tumors and paired adjacent tissues from HCC patients;Transcriptome sequencing data of tumors and paired adjacent tissues from HCC patients;SRR14027934;SAMN18397076;RNA_P12RN;RNA_P12RN;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Samples were treated with 1mL TRIzol reagent according to manufacturer's instructions. Nanodrop ND-1000 was used for RNA density/purity detection. Agilent BioAnalyzer 2100 was used for RNA quality control. rRNA depletion was conducted before RNA-seq library preparation using TruSeq Stranded Total RNA Library Prep Kit. The libraries were constructed using TruSeq Stranded Total RNA with Ribo-Zero Gold according to the manufacturer's instructions.;PAIRED;;ILLUMINA;;;;;Adjacent tissue;;;;;Illumina HiSeq 2500 sequencing: GSM5194576: RNA_P12RN Homo sapiens RNA-Seq;;tumor-adjacent;Liver;;
PRJNA997353;22/12/2023;Race-specific coregulatory and transcriptomic profiles associated with DNA methylation and androgen receptor in prostate cancer [RNA-Seq];Race-specific coregulatory and transcriptomic profiles associated with DNA methylation and androgen receptor in prostate cancer [RNA-Seq];SRR25387869;SAMN36678754;PT-00193349_NT_EA;PT-00193349_NT_EA;GSM7657524;cDNA;TRANSCRIPTOMIC;RNA-Seq;Illumina TruSeq Stranded Total RNA Library Prep Kit with Ribo-Zero Gol RNA libraries were prepared for sequencing using standard Illumina protocols;PAIRED;;ILLUMINA;;;;;prostate;;;;;Illumina HiSeq 2500 sequencing: GSM7657524: PT-00193349_NT_EA Homo sapiens RNA-Seq;;tumor-adjacent;Prostate;;
PRJNA742971;12/11/2022;A resource for integrated genomic analysis of the human liver;A resource for integrated genomic analysis of the human liver;SRR15013523;SAMN19988366;SJLB318;SJLB318;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Total RNA was extracted from tissue homogenized in TRIzol reagent, followed by Qiagen RNAeasy cleanup mRNA libraries were prepared using the Illuminia TruSeq Stranded Total RNA with Ribo-Zero protocol;PAIRED;;ILLUMINA;;;;;liver;;;;;Illumina HiSeq 2000 sequencing: GSM5412177: SJLB318 Homo sapiens RNA-Seq;check ribozero;likely postmportem;Liver;;
PRJNA694010;08/08/2023;Comprehensively analysis of alternative splicing variations in Chinese colorectal cancer by using next-generation sequencing;;SRR13518183;SAMN17371034;adjacent non-tumor tissue 03;adjacent non-tumor tissue 03;CRC_NAT_03;Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;;PAIRED;;ILLUMINA;;;;;colon;;NAT_03;;;Illumina NovaSeq 6000 sequencing: adjacent non-tumor tissue 03;;tumor-adjacent;Colon;;
PRJEB21050;22/05/2018;RNA-seq of formalin-fixed, paraffin-embedded uninvolved terminal ileal tissue obtained from ileo-colic resection surgeries of Crohn’s disease and control patients;RNA-seq of formalin-fixed, paraffin-embedded uninvolved terminal ileal tissue obtained from ileo-colic resection surgeries of Crohn’s disease and control patients;ERR1993169;SAMEA104101966;WUCA-Cont-27;Protocols: We retrospectively obtained de-identified FFPE tissue from patients who underwent ileo-colic resection surgery at Barnes-Jewish Hospital, St. Louis between 2005 and 2010. CD patient surgical resections were due to complications associated with the disease, whereas control resections were due to adenoma, carcinoma or abdominal trauma. The set of hematoxylin and eosin-stained tissue sections from each resection were obtained and examined by two pathologists (T.C.L. and T.S.S.) to identify the uninvolved proximal margin (terminal ileum) of each resection. These tissue sections were then further evaluated to identify those that met the histological inclusion criteria for this study. The criteria were that the sample had at least 100 well-oriented intestinal crypts (contained crypt lumens that extended from the apex to the base of the crypt) and absent/minimal active or chronic inflammatory disease (e.g., cryptitis, crypt abscess, architectural distortion, pyloric gland metaplasia, etc.).The study protocol was approved by the Institutional Review Board of Washington University. Patients were recruited by the Washington University Digestive Diseases Research Core Center (DDRCC). Written informed consent was obtained from all study participants prior to inclusion in the study. For samples that met the histological inclusion criteria, two fresh, unstained 5-µm FFPE tissue sections on glass microscope slides were obtained. Slides were not baked after cutting. For each sample, the two tissue sections were scraped off of the slides using a clean razor and placed in 1.5 mL Eppendorf tubes. The tubes were briefly centrifuged to place the sample towards the bottoms or sides of the tube. RNA extraction and DNase treatment was performed using the RNeasy FFPE kit (Qiagen) according to the manufacturer’s instructions, using the Xylene protocol for the paraffin removal step and 30 µL RNase-free H2O for the elution step. RNA was initially quantified by NanoDrop. Subsequent total RNA quantification and quality assessment was performed by Bioanalyzer 2100 (Agilent Technologies). Samples were excluded from the study if >20% of the RNA fragments were >200 base pairs in length, as determined with the Bioanalyzer software. Library preparation was performed by the Genome Technology Access Center (GTAC) at Washington University. Library preparation used 150 ng of total RNA. ds-cDNA was generated using the Ovation RNA-seq FFPE system (Nugen, per manufacturer’s instructions). cDNA was blunt ended, had an A base added to the 3’ ends, and then had Illumina sequencing adapters ligated to the ends. Ligated fragments were then amplified for 12 cycles using primers incorporating unique index tags.;WUCA-Cont-27_s;Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;We retrospectively obtained de-identified FFPE tissue from patients who underwent ileo-colic resection surgery at Barnes-Jewish Hospital, St. Louis between 2005 and 2010. CD patient surgical resections were due to complications associated with the disease, whereas control resections were due to adenoma, carcinoma or abdominal trauma. The set of hematoxylin and eosin-stained tissue sections from each resection were obtained and examined by two pathologists (T.C.L. and T.S.S.) to identify the uninvolved proximal margin (terminal ileum) of each resection. These tissue sections were then further evaluated to identify those that met the histological inclusion criteria for this study. The criteria were that the sample had at least 100 well-oriented intestinal crypts (contained crypt lumens that extended from the apex to the base of the crypt) and absent/minimal active or chronic inflammatory disease (e.g., cryptitis, crypt abscess, architectural distortion, pyloric gland metaplasia, etc.).The study protocol was approved by the Institutional Review Board of Washington University. Patients were recruited by the Washington University Digestive Diseases Research Core Center (DDRCC). Written informed consent was obtained from all study participants prior to inclusion in the study. For samples that met the histological inclusion criteria, two fresh, unstained 5-µm FFPE tissue sections on glass microscope slides were obtained. Slides were not baked after cutting. For each sample, the two tissue sections were scraped off of the slides using a clean razor and placed in 1.5 mL Eppendorf tubes. The tubes were briefly centrifuged to place the sample towards the bottoms or sides of the tube. RNA extraction and DNase treatment was performed using the RNeasy FFPE kit (Qiagen) according to the manufacturer’s instructions, using the Xylene protocol for the paraffin removal step and 30 µL RNase-free H2O for the elution step. RNA was initially quantified by NanoDrop. Subsequent total RNA quantification and quality assessment was performed by Bioanalyzer 2100 (Agilent Technologies). Samples were excluded from the study if >20% of the RNA fragments were >200 base pairs in length, as determined with the Bioanalyzer software. Library preparation was performed by the Genome Technology Access Center (GTAC) at Washington University. Library preparation used 150 ng of total RNA. ds-cDNA was generated using the Ovation RNA-seq FFPE system (Nugen, per manufacturer’s instructions). cDNA was blunt ended, had an A base added to the 3’ ends, and then had Illumina sequencing adapters ligated to the ends. Ligated fragments were then amplified for 12 cycles using primers incorporating unique index tags.;SINGLE;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2000 sequencing: RNA-seq of formalin-fixed, paraffin-embedded uninvolved terminal ileal tissue obtained from ileo-colic resection surgeries of Crohn’s disease and control patients;;;Small Intestine - Ileum;;
PRJEB21619;04/07/2017;Intergenic Disease-associated Regions are Abundant in Novel Regulatory Transcripts;Intergenic Disease-associated Regions are Abundant in Novel Regulatory Transcripts;ERR2022834;SAMEA104150465;Liver;Protocols: Normal human tissue RNA was obtained from the FirstChoice Tissue Panel (Ambion AM6000) and Human Breast Total RNA (Ambion AM6952). Melanoma RNA was obtained from patient cell lines, including 3 originating from metastasized stage IV melanoma (A-series) and 10 originating from resected lymph nodes from patients with stage 3 disease (C-series. RNA was extracted with RNeasy columns (Qiagen). RNA was extracted with RNeasy columns (Qiagen). RNA was DNAse treated with TurboDNase (Life Technologies), confirmed DNA-free, RNA integrity was confirmed by Agilent 2100 Bioanalyzer (Agilent Technologies). rRNA depletion (Ribo-Zero™ (Epicentre)) was performed on 5μg of total RNA. ERCC RNA Spike-In Control mix 1 or mix 2 (Life Technologies) were added to ribodepleted RNA to a final dilution of 1/100. Libraries were prepared with the TruSeq Stranded mRNA Sample Preparation Kit (Illumina) and 9-12 cycles of pre-capture LM-PCR performed as required. Multiplex library pools were created by mixing equal amounts of 5 pre-capture sample libraries and capture hybridization performed on 1 μg of the pooled library. Melanoma A-series samples were each randomly assigned to one of three capture hybridizations to ensure any expression differences between the A and C-series samples were not due to an A-series batch effect. Post-capture LMPCR was performed for 17 cycles.;Liver_p;RANDOM PCR;TRANSCRIPTOMIC;RNA-Seq;Normal human tissue RNA was obtained from the FirstChoice Tissue Panel (Ambion AM6000) and Human Breast Total RNA (Ambion AM6952). Melanoma RNA was obtained from patient cell lines, including 3 originating from metastasized stage IV melanoma (A-series) and 10 originating from resected lymph nodes from patients with stage 3 disease (C-series. RNA was extracted with RNeasy columns (Qiagen). RNA was extracted with RNeasy columns (Qiagen). RNA was DNAse treated with TurboDNase (Life Technologies), confirmed DNA-free, RNA integrity was confirmed by Agilent 2100 Bioanalyzer (Agilent Technologies). rRNA depletion (Ribo-Zero™ (Epicentre)) was performed on 5μg of total RNA. ERCC RNA Spike-In Control mix 1 or mix 2 (Life Technologies) were added to ribodepleted RNA to a final dilution of 1/100. Libraries were prepared with the TruSeq Stranded mRNA Sample Preparation Kit (Illumina) and 9-12 cycles of pre-capture LM-PCR performed as required. Multiplex library pools were created by mixing equal amounts of 5 pre-capture sample libraries and capture hybridization performed on 1 μg of the pooled library. Melanoma A-series samples were each randomly assigned to one of three capture hybridizations to ensure any expression differences between the A and C-series samples were not due to an A-series batch effect. Post-capture LMPCR was performed for 17 cycles.;PAIRED;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2000 paired end sequencing: Intergenic Disease-associated Regions are Abundant in Novel Regulatory Transcripts;;;Liver;;
PRJNA253002;19/11/2015;Human cortical transcriptome informs brain imaging;Homo sapiens;SRR1424696;SAMN02866089;Human_4915_BA46_10;Human_4915_BA46_10;;cDNA;TRANSCRIPTOMIC;RNA-Seq;All RNA samples were examined for quantity and quality by NanoDrop and Bioanalyzer (Agilent). Samples were randomized for RNA extractions and sequencing. 5ug of total RNA were treated with a Ribominus column according to the manufacturer’s instructions to remove ribosomal RNA. Libraries were prepared using an Illumina TruSeq kit according to the manufacturer’s instructions.;SINGLE;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2000 sequencing: GSM1414969: Human_4915_BA46_10 Homo sapiens RNA-Seq;;;Brain - Middle Frontal Gyrus;;
PRJNA851623;24/09/2022;SARS-CoV-2 disrupt respiratory vascular barrier by suppressing Claudin-5 expression (additional RNA-seq data);SARS-CoV-2 disrupt respiratory vascular barrier by suppressing Claudin-5 expression (additional RNA-seq data);SRR19779075;SAMN29246080;lungs of healthy donor;lungs of healthy donor;GSM6259883;cDNA;TRANSCRIPTOMIC;RNA-Seq;RNA-seq in human lungs: Total RNA was isolated from the lungs of control patients and COVID-19 patients using an RNeasy Protect Mini Kit (Qiagen). RNA-seq in human lungs: Library preparation was performed using a Stranded Total RNA Prep, Ligation with Ribo-Zero Plus kit (Illumina, San Diego, CA) according to the manufacturer's instructions.;SINGLE;;ILLUMINA;;;;;lung;;;;;NextSeq 500 sequencing: GSM6259883: lungs of healthy donor Homo sapiens RNA-Seq;;;Lung;;
PRJNA901461;02/02/2023;COVID-19 patient samples collected by the PREDICT-19 consortium;COVID-19 patient samples collected by the PREDICT-19 consortium;SRR22283256;SAMN31714415;Whole blood, healthy control, rep 35;Whole blood, healthy control, rep 35;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Total RNA was isolated from whole blood samples stored and stabilized in PAXgene RNA tubes according to the manufacturer's guidelines (PreAnalytiX) Libraries were prepared with 300ng of total RNA per sample using the Illumina Stranded Total RNA Prep with Ribo-Zero Plus (RZP) as per manufacturer instructions (Illumina, CA, USA).;PAIRED;;ILLUMINA;;;;;Whole blood;;;;;Illumina NovaSeq 6000 sequencing: GSM7507740: Whole blood, COVID positive, rep 277 Homo sapiens RNA-Seq;;;Blood - Whole Blood;;
PRJNA997243;23/07/2023;Comparing transcriptional profiles of skin biopsies from healthy controls and subjects with chronic pruritus of unknown origin and atopic dermatitis;Comparing transcriptional profiles of skin biopsies from healthy controls and subjects with chronic pruritus of unknown origin and atopic dermatitis;SRR25383764;SAMN36674057;Skin_HC_4;Skin_HC_4;GSM7656533;cDNA;TRANSCRIPTOMIC;RNA-Seq;Human skin tissues were obtained as 4 mm punch biopsies or de-identified surgical tissue and stored in RNAlater at -80C before processing. To extract whole tissue RNA, samples were homogenized using a bead homogenizer and processed using the QIAGEN RNeasy Kit following the manufacturer's instructions. Following total RNA extraction, samples were treated with DNase (Turbo DNA-Free Kit, Invitrogen) following the manufacturer's instructions. Library preparation was performed with 1 ug of total RNA, and RNA integrity was determined using an Agilent Bioanalyzer. Ribosomal RNA was removed by a hybridization method using Ribo-ZERO kits (Illumina). mRNA was then fragmented in buffer containing 40 mM Tris acetate (pH 8.2), 100 mM potassium acetate, and 30 mM magnesium acetate and heated to 94C for 150 s. mRNA was reverse transcribed to yield cDNA using SuperScript III RT enzyme (Invitrogen, per manufacturer's instructions) and random hexamers. A second strand reaction was performed to yield ds-cDNA. cDNA was blunt ended, had an A base added to the 3 prime ends, and then had Illumina sequencing adapters ligated to the ends. Ligated fragments were then amplified for 12 cycles using primers incorporating unique index tags.;SINGLE;;ILLUMINA;;;;;skin;;;;;Illumina HiSeq 3000 sequencing: GSM7656533: Skin_HC_4 Homo sapiens RNA-Seq;healthy;healthy;Skin;;
PRJEB14688;06/01/2017;RNASeq of musculoskeletal ageing using human mesenchymal stem cells and their tissue constructs;RNASeq of musculoskeletal ageing using human mesenchymal stem cells and their tissue constructs;ERR1514469;SAMEA4062967;Sample 32;Protocols: MScs purchased from young and old human donors miRNAeasy kit for RNA extraction Total RNA samples were ribosomal RNA depleted using the Human, mouse, rat low inputRibozero kit from Epicentre. 1ug of RNA (or the max amount available) was mixed with the low input kit baits and allowed to anneal. This was then mixed with the magnetic microspheres which bind the ribosomal complexes and subsequently pulled out with a magnet. The remaining RNA was purified with RNA clean beads and analysed with the Agilent Bioanalyser with a RNA pico chip. Recovery was generally less than 1% of the original starting material. All of this material was used in the script seq reaction (Epicentre). Samples were denatured and annealed to cDNA primers and cDNA was generated. This was amplified with indexed primers for 15 cycles to make the library for sequencing. Libraries were checked on the Agilent Bioanalyser with a High sensitivity chip and quantities determined with Qubit DNA High sensitivity reagents.;Sample 32_p;PCR;TRANSCRIPTOMIC;RNA-Seq;MScs purchased from young and old human donors miRNAeasy kit for RNA extraction Total RNA samples were ribosomal RNA depleted using the Human, mouse, rat low inputRibozero kit from Epicentre. 1ug of RNA (or the max amount available) was mixed with the low input kit baits and allowed to anneal. This was then mixed with the magnetic microspheres which bind the ribosomal complexes and subsequently pulled out with a magnet. The remaining RNA was purified with RNA clean beads and analysed with the Agilent Bioanalyser with a RNA pico chip. Recovery was generally less than 1% of the original starting material. All of this material was used in the script seq reaction (Epicentre). Samples were denatured and annealed to cDNA primers and cDNA was generated. This was amplified with indexed primers for 15 cycles to make the library for sequencing. Libraries were checked on the Agilent Bioanalyser with a High sensitivity chip and quantities determined with Qubit DNA High sensitivity reagents.;PAIRED;;ILLUMINA;;;mesenchymal stem cell;;;;;;;Illumina HiSeq 2000 paired end sequencing: RNASeq of musculoskeletal ageing using human mesenchymal stem cells and their tissue constructs;some aged donors;cultured cells;Connective Tissue - Mesenchymal stem cell;;
PRJNA997353;22/12/2023;Race-specific coregulatory and transcriptomic profiles associated with DNA methylation and androgen receptor in prostate cancer [RNA-Seq];Race-specific coregulatory and transcriptomic profiles associated with DNA methylation and androgen receptor in prostate cancer [RNA-Seq];SRR25387930;SAMN36678722;PT-00228928_NT_EA;PT-00228928_NT_EA;GSM7657556;cDNA;TRANSCRIPTOMIC;RNA-Seq;Illumina TruSeq Stranded Total RNA Library Prep Kit with Ribo-Zero Gol RNA libraries were prepared for sequencing using standard Illumina protocols;PAIRED;;ILLUMINA;;;;;prostate;;;;;Illumina HiSeq 2500 sequencing: GSM7657556: PT-00228928_NT_EA Homo sapiens RNA-Seq;;tumor-adjacent;Prostate;;
PRJNA486023;14/03/2019;Fudan University Shanghai Cancer Center Triple Negative Breast Cancer (FUSCCTNBC);Homo sapiens;SRR8518436;SAMN09837174;Human sample from Homo sapiens;Human sample from Homo sapiens;Lib_FUSCCTNBC324.PT;Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;;PAIRED;;ILLUMINA;;;;;Paired normal breast tissue;;FUSCCTNBC324;;;HiSeq X Ten sequencing: RNAseq of Homo sapiens: triple negative breast cancer from FUSCCTNBC project;;tumor-adjacent;Breast;;
PRJNA914646;24/12/2023;Integrated Unbiased Multiomics Defines Disease-Independent Placental Clusters in Common Obstetrical Syndromes;;SRR22925250;SAMN32490826;Human sample from Homo sapiens;Human sample from Homo sapiens;TP18.B359;Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;;PAIRED;;ILLUMINA;;;;;Placenta;;Control;;;Illumina NovaSeq 6000 sequencing: Control;;healthy;Placenta;;
PRJEB21619;04/07/2017;Intergenic Disease-associated Regions are Abundant in Novel Regulatory Transcripts;Intergenic Disease-associated Regions are Abundant in Novel Regulatory Transcripts;ERR2022846;SAMEA104150477;Cervix;Protocols: Normal human tissue RNA was obtained from the FirstChoice Tissue Panel (Ambion AM6000) and Human Breast Total RNA (Ambion AM6952). Melanoma RNA was obtained from patient cell lines, including 3 originating from metastasized stage IV melanoma (A-series) and 10 originating from resected lymph nodes from patients with stage 3 disease (C-series. RNA was extracted with RNeasy columns (Qiagen). RNA was extracted with RNeasy columns (Qiagen). RNA was DNAse treated with TurboDNase (Life Technologies), confirmed DNA-free, RNA integrity was confirmed by Agilent 2100 Bioanalyzer (Agilent Technologies). rRNA depletion (Ribo-Zero™ (Epicentre)) was performed on 5μg of total RNA. ERCC RNA Spike-In Control mix 1 or mix 2 (Life Technologies) were added to ribodepleted RNA to a final dilution of 1/100. Libraries were prepared with the TruSeq Stranded mRNA Sample Preparation Kit (Illumina) and 9-12 cycles of pre-capture LM-PCR performed as required. Multiplex library pools were created by mixing equal amounts of 5 pre-capture sample libraries and capture hybridization performed on 1 μg of the pooled library. Melanoma A-series samples were each randomly assigned to one of three capture hybridizations to ensure any expression differences between the A and C-series samples were not due to an A-series batch effect. Post-capture LMPCR was performed for 17 cycles.;Cervix_p;RANDOM PCR;TRANSCRIPTOMIC;RNA-Seq;Normal human tissue RNA was obtained from the FirstChoice Tissue Panel (Ambion AM6000) and Human Breast Total RNA (Ambion AM6952). Melanoma RNA was obtained from patient cell lines, including 3 originating from metastasized stage IV melanoma (A-series) and 10 originating from resected lymph nodes from patients with stage 3 disease (C-series. RNA was extracted with RNeasy columns (Qiagen). RNA was extracted with RNeasy columns (Qiagen). RNA was DNAse treated with TurboDNase (Life Technologies), confirmed DNA-free, RNA integrity was confirmed by Agilent 2100 Bioanalyzer (Agilent Technologies). rRNA depletion (Ribo-Zero™ (Epicentre)) was performed on 5μg of total RNA. ERCC RNA Spike-In Control mix 1 or mix 2 (Life Technologies) were added to ribodepleted RNA to a final dilution of 1/100. Libraries were prepared with the TruSeq Stranded mRNA Sample Preparation Kit (Illumina) and 9-12 cycles of pre-capture LM-PCR performed as required. Multiplex library pools were created by mixing equal amounts of 5 pre-capture sample libraries and capture hybridization performed on 1 μg of the pooled library. Melanoma A-series samples were each randomly assigned to one of three capture hybridizations to ensure any expression differences between the A and C-series samples were not due to an A-series batch effect. Post-capture LMPCR was performed for 17 cycles.;PAIRED;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2000 paired end sequencing: Intergenic Disease-associated Regions are Abundant in Novel Regulatory Transcripts;;;Cervix;;
PRJNA742971;12/11/2022;A resource for integrated genomic analysis of the human liver;A resource for integrated genomic analysis of the human liver;SRR15013666;SAMN19988467;SJLB687;SJLB687;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Total RNA was extracted from tissue homogenized in TRIzol reagent, followed by Qiagen RNAeasy cleanup mRNA libraries were prepared using the Illuminia TruSeq Stranded Total RNA with Ribo-Zero protocol;PAIRED;;ILLUMINA;;;;;liver;;;;;Illumina HiSeq 2000 sequencing: GSM5412298: SJLB687 Homo sapiens RNA-Seq;check ribozero;likely postmportem;Liver;;
PRJNA742971;12/11/2022;A resource for integrated genomic analysis of the human liver;A resource for integrated genomic analysis of the human liver;SRR15013608;SAMN19988428;SJLB419;SJLB419;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Total RNA was extracted from tissue homogenized in TRIzol reagent, followed by Qiagen RNAeasy cleanup mRNA libraries were prepared using the Illuminia TruSeq Stranded Total RNA with Ribo-Zero protocol;PAIRED;;ILLUMINA;;;;;liver;;;;;Illumina HiSeq 2000 sequencing: GSM5412243: SJLB419 Homo sapiens RNA-Seq;check ribozero;likely postmportem;Liver;;
PRJNA765370;27/11/2021;RNA-seq of HPV-negative Oral Squamous Cell Carcinoma Patients;RNA-seq of HPV-negative Oral Squamous Cell Carcinoma Patients;SRR16013081;SAMN21555515;OSCC_13-N;OSCC_13-N;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Nucleic acids were extracted fresh frozen OSCC tissue and matched normal (oral mucosa) using the Qiagen AllPrep Kit (Qiagen, Germantown, Maryland, USA) in accordance with the manufacturer's instructions with purification of DNA and RNA from the same sample. TruSeq Stranded Total RNA with Ribo-Zero Gold (Human, Mouse, Rat) ribosomal depletion;PAIRED;;ILLUMINA;;;;;oral mucosa;;;;;Illumina NovaSeq 6000 sequencing: GSM5593771: OSCC_13-N Homo sapiens RNA-Seq;;tumor-adjacent;Mouth - Mucosa;;
