study_accession;first_public;study_title;project_name;run_accession;sample_accession;sample_title;sample_description;library_name;library_selection;library_source;library_strategy;library_construction_protocol;library_layout;rna_integrity_num;instrument_platform;rt_prep_protocol;cell_line;cell_type;tissue_lib;tissue_type;host_phenotype;isolate;age;host_body_site;description;note;origin;Gtex;; 
PRJNA901461;14/09/2023;COVID-19 patient samples collected by the PREDICT-19 consortium;COVID-19 patient samples collected by the PREDICT-19 consortium;SRR25007130;SAMN35879864;Whole blood, healthy control, rep 72;Whole blood, healthy control, rep 72;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Total RNA was isolated from whole blood samples stored and stabilized in PAXgene RNA tubes according to the manufacturer's guidelines (PreAnalytiX) Libraries were prepared with 300ng of total RNA per sample using the Illumina Stranded Total RNA Prep with Ribo-Zero Plus (RZP) as per manufacturer instructions (Illumina, CA, USA).;PAIRED;;ILLUMINA;;;;;Whole blood;;;;;Illumina NovaSeq 6000 sequencing: GSM7507851: Whole blood, COVID positive, rep 388 Homo sapiens RNA-Seq;;;Blood - Whole Blood;;
PRJNA637378;27/01/2021;Non-CG methylation and multiple epigenetic layers associate child abuse with immune and small GTPase dysregulation;Non-CG methylation and multiple epigenetic layers associate child abuse with immune and small GTPase dysregulation;SRR13485941;SAMN17384686;Anterior Cingulate cortex, sbb18, RNAseq;Anterior Cingulate cortex, sbb18, RNAseq;;cDNA;TRANSCRIPTOMIC;RNA-Seq;TrueSeq Stranded Total RNA Sample Preparation + Ribo-Zero Gold kits (Illumina);PAIRED;;ILLUMINA;;;;;Anterior Cingulate cortex (human brain tissue);;;;;Illumina HiSeq 2000 sequencing: GSM5026565: Anterior Cingulate cortex, sbb18, RNAseq Homo sapiens RNA-Seq;;;Brain - Anterior cingulate cortex;;
PRJNA908818;25/06/2023;Effect of cigarette smoking on gene expression of peripheral blood B cells and on transcriptome changes by naïve-to-memory B cell shift;Effect of cigarette smoking on gene expression of peripheral blood B cells and on transcriptome changes by naïve-to-memory B cell shift;SRR22532367;SAMN32045260;;;GSM6788594;cDNA;TRANSCRIPTOMIC;RNA-Seq;Granulocytes were isolated directly from whole blood using anti-CD15+ antibody–coated magnetic beads following the protocol (Invitrogen). Density gradient centrifugation using Histopaque-1077 Ficoll medium and Accuspin™ Tubes (Sigma-Aldrich) was used to isolate the mononuclear layer of CD19+ B cells using antibody-coated magnetic beads (Invitrogen). RNA was harvested using RNeasy mini plus kit (Qiagen). Aliquots of RNA (375 ng) were used to generate poly-adenylated RNA libraries with TruSeq Stranded Total RNA Ribo-Zero Human Gold kit (Illumina). Samples were indexed with NEXTfle-96 RNA-Seq Barcodes (Bioo-scientific, Austin, TX).;PAIRED;;ILLUMINA;;;;;;;;;;Illumina NovaSeq 6000 sequencing: GSM6788594: F189-1_Bcell_Smoker Homo sapiens RNA-Seq;some smokers;;Blood - Granulocyte;;
PRJNA817436;24/12/2023;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;Exercise-induced Crosstalk between Immune Cells and Adipocytes in Humans: Role of Oncostatin-M;SRR18363214;SAMN26788802;22_PRE;22_PRE;GSM5960644;cDNA;TRANSCRIPTOMIC;RNA-Seq;Approximately 30 mg of adipose tissue was used for RNA extraction. Tissues were homogenized using TissueLyser (Qiagen) in 1 mL TRIzol (Sigma-Aldrich). Chloroform was added, samples were mixed, subjected to centrifugation, and the aqueous phase was transferred to a new tube. Thereafter, 1:1 70% ethanol was added, and the total volume was loaded on silica-membrane columns. RNA extraction was performed using a commercially available kit (Rneasy lipid tissue kit, Qiagen). RNA concentration and purity were assessed by absorbance at 260 and 280 nm using NanoDrop One (Thermo Fisher Scientific, Waltham, MA). Aliquots of RNA (300 ng) were analyzed using the Illumina TruSeq Stranded Total RNA with Ribo-Zero Gold protocol (Illumina) as described (ref). Ribosomal RNA was removed from the sample using 35 μl of rRNA removal beads (Illumina) on a magnetic plate followed by cleanup of the ribosomal-depleted RNA with 193 μl of Agencourt RNAClean XP beads (Beckman Coulter), 70% ethanol wash, and elution into 10 μl elution buffer (Illumina). The RNA sample was fragmented for 4 min at 94°C in Elute, Prime, Fragment High Mix (Illumina) and then subjected to first-strand cDNA synthesis with 1 μl of Superscript III reverse transcriptase (Life Technologies) per sample using a thermocycler programmed to 25°C for 10 min, 50°C for 15 min, and 70°C for 15 min. Second-strand cDNA was synthesized by addition of Second-Strand Marking Master Mix, and samples were incubated at 16°C for 60 min. Samples were subjected to another bead cleanup before A-tailing and ligation of adapters as per kit instructions (Illumina). Following a third bead cleanup, samples were enriched for DNA fragments by amplification using the Illumina polymerase chain reaction (PCR) Primer Cocktail and PCR Master Mix, subjected to 98°C for 30 min, followed by a predefined cycle (98°C for 10 s, 60°C for 30 s, and 72°C for 30 s) that was repeated 3 to 15 times, on the basis of each individual sample, and finally incubated for 5 min at 72°C. Samples were cleaned and validated for DNA concentration using the Qubit dsDNA HS assay kit (Invitrogen) and for base pair size and purity using the Agilent High Sensitivity DNA chip and Bioanalyzer instrument. 38-bp paired-end sequencing on a NextSeq500;PAIRED;;ILLUMINA;;;;;Adipose tissue biopsy;;;;;NextSeq 500 sequencing: GSM5960644: 22_PRE Homo sapiens RNA-Seq;;;Adipose;;
PRJEB21619;04/07/2017;Intergenic Disease-associated Regions are Abundant in Novel Regulatory Transcripts;Intergenic Disease-associated Regions are Abundant in Novel Regulatory Transcripts;ERR2022840;SAMEA104150471;Spleen;Protocols: Normal human tissue RNA was obtained from the FirstChoice Tissue Panel (Ambion AM6000) and Human Breast Total RNA (Ambion AM6952). Melanoma RNA was obtained from patient cell lines, including 3 originating from metastasized stage IV melanoma (A-series) and 10 originating from resected lymph nodes from patients with stage 3 disease (C-series. RNA was extracted with RNeasy columns (Qiagen). RNA was extracted with RNeasy columns (Qiagen). RNA was DNAse treated with TurboDNase (Life Technologies), confirmed DNA-free, RNA integrity was confirmed by Agilent 2100 Bioanalyzer (Agilent Technologies). rRNA depletion (Ribo-Zero™ (Epicentre)) was performed on 5μg of total RNA. ERCC RNA Spike-In Control mix 1 or mix 2 (Life Technologies) were added to ribodepleted RNA to a final dilution of 1/100. Libraries were prepared with the TruSeq Stranded mRNA Sample Preparation Kit (Illumina) and 9-12 cycles of pre-capture LM-PCR performed as required. Multiplex library pools were created by mixing equal amounts of 5 pre-capture sample libraries and capture hybridization performed on 1 μg of the pooled library. Melanoma A-series samples were each randomly assigned to one of three capture hybridizations to ensure any expression differences between the A and C-series samples were not due to an A-series batch effect. Post-capture LMPCR was performed for 17 cycles.;Spleen_p;RANDOM PCR;TRANSCRIPTOMIC;RNA-Seq;Normal human tissue RNA was obtained from the FirstChoice Tissue Panel (Ambion AM6000) and Human Breast Total RNA (Ambion AM6952). Melanoma RNA was obtained from patient cell lines, including 3 originating from metastasized stage IV melanoma (A-series) and 10 originating from resected lymph nodes from patients with stage 3 disease (C-series. RNA was extracted with RNeasy columns (Qiagen). RNA was extracted with RNeasy columns (Qiagen). RNA was DNAse treated with TurboDNase (Life Technologies), confirmed DNA-free, RNA integrity was confirmed by Agilent 2100 Bioanalyzer (Agilent Technologies). rRNA depletion (Ribo-Zero™ (Epicentre)) was performed on 5μg of total RNA. ERCC RNA Spike-In Control mix 1 or mix 2 (Life Technologies) were added to ribodepleted RNA to a final dilution of 1/100. Libraries were prepared with the TruSeq Stranded mRNA Sample Preparation Kit (Illumina) and 9-12 cycles of pre-capture LM-PCR performed as required. Multiplex library pools were created by mixing equal amounts of 5 pre-capture sample libraries and capture hybridization performed on 1 μg of the pooled library. Melanoma A-series samples were each randomly assigned to one of three capture hybridizations to ensure any expression differences between the A and C-series samples were not due to an A-series batch effect. Post-capture LMPCR was performed for 17 cycles.;PAIRED;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2000 paired end sequencing: Intergenic Disease-associated Regions are Abundant in Novel Regulatory Transcripts;;;Spleen;;
PRJNA312169;07/02/2017;Transcriptome profiling of human keratoconus corneas through RNA sequencing identifies collagen synthesis disruption and downregulation of core elements of TGF-ß, Hippo, and Wnt pathways;Homo sapiens;SRR3170181;SAMN04504393;KR_15;KR_15;;cDNA;TRANSCRIPTOMIC;RNA-Seq;The corneas were transferred to 400 µl of lysis solution (Norgen Biotek, Thorold, ON, Canada) in a 2-mL microtube with Lysing Matrix D (MP Biomedicals, Irvine, CA, USA) and homogenized using a FastPrep®-24 Instrument (MP Biomedicals). Further total RNA extraction and purification steps were performed according to the manufacturer’s instructions supplied with a Total RNA Purification Kit (Norgen Biotek). To maximize the removal of residual DNA that could affect downstream analyses, an on-column DNase I (Zymo Research, Irvine, CA, USA) treatment was performed. Libraries were prepared with a TruSeq Stranded Total RNA LT with Ribo-Zero™ Human/Mouse/Rat Kit (Illumina, San Diego, CA, USA) according to the manufacturer’s protocol, with slight modifications.;PAIRED;;ILLUMINA;;;;;cornea;;;;;Illumina HiSeq 1500 sequencing: GSM2061714: KR_15 Homo sapiens RNA-Seq;;;Eye - Cornea;;
PRJNA901461;02/02/2023;COVID-19 patient samples collected by the PREDICT-19 consortium;COVID-19 patient samples collected by the PREDICT-19 consortium;SRR22283245;SAMN31714297;Whole blood, healthy control, rep 24;Whole blood, healthy control, rep 24;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Total RNA was isolated from whole blood samples stored and stabilized in PAXgene RNA tubes according to the manufacturer's guidelines (PreAnalytiX) Libraries were prepared with 300ng of total RNA per sample using the Illumina Stranded Total RNA Prep with Ribo-Zero Plus (RZP) as per manufacturer instructions (Illumina, CA, USA).;PAIRED;;ILLUMINA;;;;;Whole blood;;;;;Illumina NovaSeq 6000 sequencing: GSM7507694: Whole blood, COVID positive, rep 231 Homo sapiens RNA-Seq;;;Blood - Whole Blood;;
PRJDB10737;21/01/2022;Transcriptomic Landscape of Gallbladder Cancer for Molecular Classification and Tumor Microenvironment Characterization;Homo sapiens;DRR253279;SAMD00254779;GBN2_normal_gallbladder_RNA;GBN2_normal_gallbladder_RNA;;Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;KAPA RNA HyperPrep Kit with RiboErase;PAIRED;;ILLUMINA;;;;;gallbladder mucosa;;GBN2;;;Illumina HiSeq 2500 paired end sequencing: Illumina HiSeq 2500 paired end sequencing of SAMD00254779;;;Gallbladder - Mucosa;;
PRJEB19994;17/01/2018;RNA-seq of human normal mammary gland cells FACS sorted into three populations: ALDH+, ALDH-CD44+CD24-, and ALDH-CD44-CD24+;RNA-seq of human normal mammary gland cells FACS sorted into three populations: ALDH+, ALDH-CD44+CD24-, and ALDH-CD44-CD24+;ERR1883111;SAMEA103910978;Sample23_NonStem;Protocols: Normal (non-pathogenic) breast tissue was isolated from women undergoing voluntary reduction mammoplasty at the University of Michigan. The study protocol was approved by the University of Michigan Institutional Review Board. Breast tissue was mechanically and enzymatically digested as previously described (Dontu et al., 2003 Kakarala et al., 2010). Normal mammary cells were stained for CD44, and CD24 expression and ALDH activity accessed by the Aldefluor assay as described previously (Colacino et al., 2016) and analyzed or sorted on a Beckman Coulter MoFlo Astrios at the University of Michigan Flow Cytomtery core facility. Briefly, single mammary cells were first incubated with a lineage depletion cocktail that consisted of biotinylated antibodies targeted against CD45, HLA-DR, CD14, CD31, CD41, CD19, CD235a, CD56, CD3, CD16, and CD140b (all from eBioscience, except for CD140b (Biolegend) and CD41 (Acris)). Next, cells were stained with Alexafluor 750 tagged streptavidin, LIVE/DEAD Fixable Dead Cell Stain (Invitrogen), CD24 (Biolegend), CD44 (BD), and Aldefluor (Stem Cell Technology). Single color and isotype controls were included for compensation and gating purposes. Aldefluor-positive gating was based on DEAB (negative) controls. Flow cytometry data analysis was performed with FlowJo software v10.0.8. Total RNA was isolated from each cell population using the RNEasy Micro Kit (Qiagen) with on column DNase treatment. RNA concentration and quality was determined using a Nanodrop (Thermo) and Bioanalyzer (Agilent). Ribosomal RNAs were depleted using Ribominus (Life) and sequencing libraries were prepared with the SMARTer Stranded RNA-Seq kit (Clontech).;Sample23_NonStem_p;RANDOM PCR;TRANSCRIPTOMIC;RNA-Seq;Normal (non-pathogenic) breast tissue was isolated from women undergoing voluntary reduction mammoplasty at the University of Michigan. The study protocol was approved by the University of Michigan Institutional Review Board. Breast tissue was mechanically and enzymatically digested as previously described (Dontu et al., 2003 Kakarala et al., 2010). Normal mammary cells were stained for CD44, and CD24 expression and ALDH activity accessed by the Aldefluor assay as described previously (Colacino et al., 2016) and analyzed or sorted on a Beckman Coulter MoFlo Astrios at the University of Michigan Flow Cytomtery core facility. Briefly, single mammary cells were first incubated with a lineage depletion cocktail that consisted of biotinylated antibodies targeted against CD45, HLA-DR, CD14, CD31, CD41, CD19, CD235a, CD56, CD3, CD16, and CD140b (all from eBioscience, except for CD140b (Biolegend) and CD41 (Acris)). Next, cells were stained with Alexafluor 750 tagged streptavidin, LIVE/DEAD Fixable Dead Cell Stain (Invitrogen), CD24 (Biolegend), CD44 (BD), and Aldefluor (Stem Cell Technology). Single color and isotype controls were included for compensation and gating purposes. Aldefluor-positive gating was based on DEAB (negative) controls. Flow cytometry data analysis was performed with FlowJo software v10.0.8. Total RNA was isolated from each cell population using the RNEasy Micro Kit (Qiagen) with on column DNase treatment. RNA concentration and quality was determined using a Nanodrop (Thermo) and Bioanalyzer (Agilent). Ribosomal RNAs were depleted using Ribominus (Life) and sequencing libraries were prepared with the SMARTer Stranded RNA-Seq kit (Clontech).;PAIRED;;ILLUMINA;;;ALDH- CD44- CD24+ cell;;;;;;;Illumina HiSeq 2500 paired end sequencing: RNA-seq of human normal mammary gland cells FACS sorted into three populations: ALDH+, ALDH-CD44+CD24-, and ALDH-CD44-CD24+;;;Breast - Mammary gland;;
PRJNA835414;07/07/2022;Distinctive exercise-induced inflammatory response and exerkine induction in skeletal muscle of people with type 2 diabetes;Distinctive exercise-induced inflammatory response and exerkine induction in skeletal muscle of people with type 2 diabetes;SRR19095795;SAMN28101091;NGT_052_basal [P7401_181];NGT_052_basal [P7401_181];GSM6107983;cDNA;TRANSCRIPTOMIC;RNA-Seq;mRNA was extracted by mirVana miRNA Isolation Kit (ThermoFisher Scientific AM1560). Libraries were generated with TruSeq Stranded total RNA kit (Illumina 20020597) and ribosomal RNA removed with Ribo-Zero Plus rRNA depletion kit (Illumina 20037135);PAIRED;;ILLUMINA;;;;;Vastus Lateralis;;;;;Illumina HiSeq 2500 sequencing: GSM6107983: NGT_052_basal [P7401_181] Homo sapiens RNA-Seq;muscle;;Muscle - Skeletal;;
PRJNA209081;15/04/2014;RNA-seq identifies novel transcript elements and transcript processing in the normal and failing hearts;Homo sapiens;SRR915778;SAMN02209941;control rep15;control rep15;;cDNA;TRANSCRIPTOMIC;RNA-Seq;RNA was extracted with Trizol (Invitrogen) and further purified on RNeasy columns (Qiagen) with on column DNase digestion. Ribosomal RNA was depleted using the RiboMinus kit (Invitrogen). 1 µg rRNA-depleted RNA was used for the construction of sequencing libraries Illumina RNA-seq libraries were prepared from rRNA-depleted samples using the standard Illumina protocol. SOLiD RNA-seq libraries were prepared from a pool of all of 15 ICM samples and a pool of all of 15 Ctrl samples using the standard SOLiD strand-specific library protocol.;PAIRED;;ILLUMINA;;;;;heart;;;;;Illumina Genome Analyzer II sequencing: GSM1171561: control rep13 Homo sapiens RNA-Seq;;;Heart;;
PRJNA901967;02/01/2023;Placental Inflammation Significantly Correlates with Reduced Risk for Retinopathy of Prematurity;Placental Inflammation Significantly Correlates with Reduced Risk for Retinopathy of Prematurity;SRR22301771;SAMN31742724;18942X20 40A_P-1;18942X20 40A_P-1;GSM6733303;cDNA;TRANSCRIPTOMIC;RNA-Seq;RNA was harvested using Qiagen ALL PREP Universal Whole transcriptome expression analysis was performed on fetal surface placental tissues using the Illumina Stranded Total RNA Kit with Ribo-Zero Plus per the standard protocol;PAIRED;;ILLUMINA;;;placental villous tissue;;Placenta;;;;;Illumina NovaSeq 6000 sequencing: GSM6733303: 18942X20 40A_P-1 Homo sapiens RNA-Seq;some retinopathies;healthy;Placenta;;
PRJNA989574;03/07/2023;Effect of pulmonary hypertension due to left heart disease on gene expression in pulmonary arteries;Effect of pulmonary hypertension due to left heart disease on gene expression in pulmonary arteries;SRR25098112;SAMN36175546;;;GSM7520375;cDNA;TRANSCRIPTOMIC;RNA-Seq;Snap-frozen PA specimens were subjected to TRIzol-RNA extraction. RNA quality was assessed by measuring the RNA integrity number (RIN) using a Fragment Analyzer HS Total RNA Kit (Advanced Analytical Technologies, Inc.). Library preparation for total RNA-Seq was performed using TruSeq™ Stranded Total RNA with Ribo-Zero Gold (Illumina, Cat. Nr. RS-122-2301) starting from 1000 ng of total RNA. The size range of the final cDNA libraries was determined by applying the SS NGS Fragment 1- to 6000-bp Kit on the Fragment Analyzer (average 340 bp). Accurate quantification of cDNA libraries was performed by using the QuantiFluor™ dsDNA System (Promega).;SINGLE;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2000 sequencing: GSM7520375: Donor_3 Homo sapiens RNA-Seq;;;Artery - Pulmonary trunk;;
PRJNA914646;24/12/2023;Integrated Unbiased Multiomics Defines Disease-Independent Placental Clusters in Common Obstetrical Syndromes;;SRR22925250;SAMN32490826;Human sample from Homo sapiens;Human sample from Homo sapiens;TP18.B359;Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;;PAIRED;;ILLUMINA;;;;;Placenta;;Control;;;Illumina NovaSeq 6000 sequencing: Control;;healthy;Placenta;;
PRJNA997243;23/07/2023;Comparing transcriptional profiles of skin biopsies from healthy controls and subjects with chronic pruritus of unknown origin and atopic dermatitis;Comparing transcriptional profiles of skin biopsies from healthy controls and subjects with chronic pruritus of unknown origin and atopic dermatitis;SRR25383772;SAMN36674059;Skin_HC_2;Skin_HC_2;GSM7656531;cDNA;TRANSCRIPTOMIC;RNA-Seq;Human skin tissues were obtained as 4 mm punch biopsies or de-identified surgical tissue and stored in RNAlater at -80C before processing. To extract whole tissue RNA, samples were homogenized using a bead homogenizer and processed using the QIAGEN RNeasy Kit following the manufacturer's instructions. Following total RNA extraction, samples were treated with DNase (Turbo DNA-Free Kit, Invitrogen) following the manufacturer's instructions. Library preparation was performed with 1 ug of total RNA, and RNA integrity was determined using an Agilent Bioanalyzer. Ribosomal RNA was removed by a hybridization method using Ribo-ZERO kits (Illumina). mRNA was then fragmented in buffer containing 40 mM Tris acetate (pH 8.2), 100 mM potassium acetate, and 30 mM magnesium acetate and heated to 94C for 150 s. mRNA was reverse transcribed to yield cDNA using SuperScript III RT enzyme (Invitrogen, per manufacturer's instructions) and random hexamers. A second strand reaction was performed to yield ds-cDNA. cDNA was blunt ended, had an A base added to the 3 prime ends, and then had Illumina sequencing adapters ligated to the ends. Ligated fragments were then amplified for 12 cycles using primers incorporating unique index tags.;SINGLE;;ILLUMINA;;;;;skin;;;;;Illumina HiSeq 3000 sequencing: GSM7656531: Skin_HC_2 Homo sapiens RNA-Seq;healthy;healthy;Skin;;
PRJNA387704;23/02/2018;Comparsion of the transcriptome profiles in normal and age-related macular degneration in retina and RPE-Choroid-Scleral (RCS) tissues;Homo sapiens;SRR5591599;SAMN07161011;Normal_PR_1.TR01_reseq;Normal_PR_1.TR01_reseq;;cDNA;TRANSCRIPTOMIC;RNA-Seq;collection protocol: For each donor eye, the retina (PR) and RPE-Choroid-Sclera (PRCS) samples were dissected from the peripheral region of the posterior eye globes using a 10mm-biopsy punch followed by a 8mm-punch in the middle of the 10mm-punch to minimize the sample contamination. A total of 32 RNA samples were prepared using the AllPrep DNA/RNA Mini kit (Qiagen). Library preparation and sequencing was done using the TruSeq Stranded total RNA with RiboZero Gold kit (Illumina, CA) protocol with a total RNA (800ng) as the starting material.;PAIRED;;ILLUMINA;;;;;Peripheral Retina;;;;;Illumina HiSeq 2000 sequencing: GSM2638041: Normal_PR_4.TR07 Homo sapiens RNA-Seq;;;Eye - Retina;;
PRJNA454694;09/02/2019;Sequencing based maternal whole blood expression changes with gestational age and labor in normal pregnancy;Sequencing based maternal whole blood expression changes with gestational age and labor in normal pregnancy;SRR7094277;SAMN09011919;Sample_24 [RNA-seq];Sample_24 [RNA-seq];;cDNA;TRANSCRIPTOMIC;RNA-Seq;RNA was isolated from  PAXgene® Blood RNA collection tube (BD 762165) as described in the PAXgene® Blood miRNA Kit Handbook (December, 2015). Purified RNA was quantified by UV spectrophotometry using the DropSense96® Microplate Spectrophotometer (Trinean) and quality assessed by microfluidics using the RNA ScreenTape on the Agilent 2200 TapeStation. Starting with 500 ng of total RNA, cDNA library templates were synthesized using the Illumina TruSeq® Stranded Total RNA LT (Set A) Kit with Ribo-Zero Globin rRNA reduction, as described in the TruSeq® Stranded Total RNA Sample Preparation Guide (Rev. E, October 2013). Libraries were validated using the HS D1000 ScreenTape on the Agilent 2200 TapeStation, and quantified on the Qubit® 2.0 Fluorometer by the Qubit® dsDNA HS Assay (ThermoFisher). The Illumina HiSeq 2500 instrument was used to cluster the samples onto the flow cell. The pools were put on at 10pM and run in rapid mode at 2×100 paired end. Illumina HiSeq Rapid PE Cluster kit V2 and HiSeq Rapid SBS kit v2 200 cycles was used.;PAIRED;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2500 sequencing: GSM3124801: Sample_24 [RNA-seq] Homo sapiens RNA-Seq;;;Blood - Whole blood;;
PRJNA989574;03/07/2023;Effect of pulmonary hypertension due to left heart disease on gene expression in pulmonary arteries;Effect of pulmonary hypertension due to left heart disease on gene expression in pulmonary arteries;SRR25098103;SAMN36175537;;;GSM7520384;cDNA;TRANSCRIPTOMIC;RNA-Seq;Snap-frozen PA specimens were subjected to TRIzol-RNA extraction. RNA quality was assessed by measuring the RNA integrity number (RIN) using a Fragment Analyzer HS Total RNA Kit (Advanced Analytical Technologies, Inc.). Library preparation for total RNA-Seq was performed using TruSeq™ Stranded Total RNA with Ribo-Zero Gold (Illumina, Cat. Nr. RS-122-2301) starting from 1000 ng of total RNA. The size range of the final cDNA libraries was determined by applying the SS NGS Fragment 1- to 6000-bp Kit on the Fragment Analyzer (average 340 bp). Accurate quantification of cDNA libraries was performed by using the QuantiFluor™ dsDNA System (Promega).;SINGLE;;ILLUMINA;;;;;;;;;;Illumina HiSeq 2000 sequencing: GSM7520384: LHD w/o PH_4 Homo sapiens RNA-Seq;;;Artery - Pulmonary trunk;;
PRJNA765370;27/11/2021;RNA-seq of HPV-negative Oral Squamous Cell Carcinoma Patients;RNA-seq of HPV-negative Oral Squamous Cell Carcinoma Patients;SRR16013069;SAMN21555509;OSCC_10-N;OSCC_10-N;;cDNA;TRANSCRIPTOMIC;RNA-Seq;Nucleic acids were extracted fresh frozen OSCC tissue and matched normal (oral mucosa) using the Qiagen AllPrep Kit (Qiagen, Germantown, Maryland, USA) in accordance with the manufacturer's instructions with purification of DNA and RNA from the same sample. TruSeq Stranded Total RNA with Ribo-Zero Gold (Human, Mouse, Rat) ribosomal depletion;PAIRED;;ILLUMINA;;;;;oral mucosa;;;;;Illumina NovaSeq 6000 sequencing: GSM5593765: OSCC_10-N Homo sapiens RNA-Seq;;tumor-adjacent;Mouth - Mucosa;;
PRJNA835414;07/07/2022;Distinctive exercise-induced inflammatory response and exerkine induction in skeletal muscle of people with type 2 diabetes;Distinctive exercise-induced inflammatory response and exerkine induction in skeletal muscle of people with type 2 diabetes;SRR19095894;SAMN28101127;NGT_022_basal [P7401_145];NGT_022_basal [P7401_145];GSM6107947;cDNA;TRANSCRIPTOMIC;RNA-Seq;mRNA was extracted by mirVana miRNA Isolation Kit (ThermoFisher Scientific AM1560). Libraries were generated with TruSeq Stranded total RNA kit (Illumina 20020597) and ribosomal RNA removed with Ribo-Zero Plus rRNA depletion kit (Illumina 20037135);PAIRED;;ILLUMINA;;;;;Vastus Lateralis;;;;;Illumina HiSeq 2500 sequencing: GSM6107947: NGT_022_basal [P7401_145] Homo sapiens RNA-Seq;muscle;;Muscle - Skeletal;;
PRJNA448679;26/06/2018;Time series integrative analysis of RNA-Seq and miRNA expression data reveals key biologic pathways during keloid formation;;SRR6937801;SAMN08863055;K4-1st;Keloid data set RNA-Seq;603;Inverse rRNA;TRANSCRIPTOMIC;RNA-Seq;;PAIRED;;ILLUMINA;;;;;skin;;K4;;;Illumina HiSeq 2500 sequencing: RNA Seq of Keloid skin;;;Skin;;
