code_uberon,name,synonym
UBERON:0007358,abomasum,"fourth stomach;maw;read;rennet-bag;ruminant true stomach"
UBERON:0007359,ruminant forestomach,"forestomach"
UBERON:0007361,ruminant reticulum,"reticulum"
UBERON:0007362,omasum,"omasum"
UBERON:0007364,reticulorumen,"retriculo-rumen"
UBERON:0007365,rumen,"paunch"
UBERON:0007366,ruminant stomach,"plurilocular stomach"
UBERON:0007367,surface of tongue,"tongue surface"
UBERON:0007371,superior surface of tongue,"dorsal surface of tongue"
UBERON:0007373,inferior surface of tongue,"ventral surface of tongue;ventrum linguae"
UBERON:0007374,incus cartilage element,""
UBERON:0007375,roof of mouth,"palate;palatum;primary or secondary palate;roof of buccal cavity;roof of oral cavity"
UBERON:0007376,outer epithelium,"epidermis;epidermis (sensu Metazoa);hypoderm;hypodermis;outer epidermal layer;outer epithelial layer"
UBERON:0007377,stratum compactum of dermis,"dermal deep region;stratum compactum"
UBERON:0007378,egg yolk,"yolk"
UBERON:0007379,shelled egg,"egg"
UBERON:0007380,dermal scale,"fish scale;scales"
UBERON:0007381,epidermal scale,""
UBERON:0007383,enveloping layer of ectoderm,"enveloping layer;EVL"
UBERON:0007384,appendage lymph vessel,""
UBERON:0007385,pectoral appendage lymph vessel,""
UBERON:0007386,pelvic appendage lymph vessel,""
UBERON:0007389,paired limb/fin cartilage,""
UBERON:0007390,pectoral appendage cartilage tissue,"pectoral fin cartilage"
UBERON:0007391,pelvic appendage cartilage tissue,"pelvic fin cartilage"
UBERON:0007412,midbrain raphe nuclei,"midbrain raphe;midbrain raphe nuclei;nuclei raphes tegmenti mesencephali;raphe nuclei of tegmentum of midbrain;raphe nucleus;set of raphe nuclei of tegmentum of midbrain"
UBERON:0007413,nucleus of pontine reticular formation,"pontine reticular formation nucleus"
UBERON:0007414,nucleus of midbrain tegmentum,"tegmental nuclei;tegmental nucleus"
UBERON:0007415,nucleus of midbrain reticular formation,"mesencephalic reticular nucleus;midbrain reticular formation nucleus;midbrain reticular nucleus"
UBERON:0007416,cerebellar peduncle,"cerebellum peduncle"
UBERON:0007417,peduncle of neuraxis,"neuraxis peduncle"
UBERON:0007418,neural decussation,"chiasm;chiasma;decussation;decussation of neuraxis;neuraxis chiasm;neuraxis chiasma;neuraxis decussation"
UBERON:0007425,decussation of diencephalon,"diencephalon decussation"
UBERON:0007440,stratum intermedium of tooth,"stratum intermedium"
UBERON:0007473,lumen of epithelial sac,"cavity of vesicle"
UBERON:0007475,matrix-based tissue,""
UBERON:0007486,fluid-based anatomical entity,""
UBERON:0007490,keratin-based acellular structure,"keratin-based structure"
UBERON:0007491,chitin-based acellular structure,""
UBERON:0007497,obsolete developing epithelial placode,""
UBERON:0007499,epithelial sac,""
UBERON:0007500,epithelial tube open at both ends,""
UBERON:0007501,arborizing epithelial duct system,"arborising epithelial duct system"
UBERON:0007502,epithelial plexus,""
UBERON:0007503,epithelial vesicle,""
UBERON:0007521,smooth muscle sphincter,""
UBERON:0007522,striated muscle sphincter,""
UBERON:0007524,dense mesenchyme tissue,""
UBERON:0007529,loose mesenchyme tissue,""
UBERON:0007530,migrating mesenchyme population,""
UBERON:0007540,obsolete surface sense organ,""
UBERON:0007567,regenerating anatomical structure,"regenerating tissue;regenerating tissues;regenerative tissue"
UBERON:0007573,migrating epithelium,""
UBERON:0007574,apical epidermal cap,"apical epidermal caps;apical epithelial cap"
UBERON:0007589,ciliated columnar oviduct epithelium,"epithelium of uterine tube;uterine tube epithelium"
UBERON:0007590,cuboidal oviduct epithelium,""
UBERON:0007592,ciliated columnar epithelium,""
UBERON:0007601,ciliated epithelium,""
UBERON:0007602,stratified columnar epithelium,"epithelium stratificatum columnare"
UBERON:0007603,stratified cuboidal epithelium,"epithelium stratificatum cuboideum"
UBERON:0007606,ciliated stratified columnar epithelium,""
UBERON:0007610,tibial artery,""
UBERON:0007612,extensor digitorum communis,"extensor communis;extensor digitorum;extensor digitorum communis muscle;musculus extensor digitorum"
UBERON:0007613,extensor digitorum lateralis muscle,"extensor digitorum lateralis"
UBERON:0007614,extensor digiti minimi muscle,"extensor digiti minimi;extensor digiti minimi (hand);extensor digiti quinti proprius;musculus extensor digiti minimi"
UBERON:0007615,prostate gland ventral lobe,"ventral prostate"
UBERON:0007616,layer of synovial tissue,"stratum synoviale;synovial layer;synovial membrane;synovial tissue;synovium"
UBERON:0007617,synovial cavity of joint,"articular cavity (synovial joint);cavitas articularis (junctura synovialis);cavity of synovial joint;joint cavity;synovial cavity"
UBERON:0007618,synovial cavity of hip joint,""
UBERON:0007619,limiting membrane of retina,"retina lamina"
UBERON:0007622,pecten oculi,"pecten"
UBERON:0007623,comb and wattle,"wattle;wattles and comb"
UBERON:0007625,pigment epithelium of eye,"eye pigment epithelium"
UBERON:0007626,subparaventricular zone,""
UBERON:0007627,magnocellular nucleus of stria terminalis,"magnocellular nucleus"
UBERON:0007628,lateral septal complex,"lateral septal area;lateral septum;lateral septum complex"
UBERON:0007629,medial septal complex,"medial septum complex"
UBERON:0007630,septohippocampal nucleus,""
UBERON:0007631,accessory olfactory bulb glomerular layer,"accessory olfactory bulb, glomerular layer;AOB, glomerular layer;glomerular layer of the accessory olfactory bulb"
UBERON:0007632,Barrington's nucleus,"Barrington nucleus;nucleus of Barrington"
UBERON:0007633,nucleus of trapezoid body,"nuclei of trapezoid body;nucleus corporis trapezoidei;nucleus of the trapezoid body;nucleus trapezoidalis;set of nuclei of trapezoid body;trapezoid gray;trapezoid nuclear complex;trapezoid nuclei;Tz"
UBERON:0007634,parabrachial nucleus,"parabrachial area;parabrachial complex;parabrachial nuclei"
