run_accession,tissue_lib,cell_line,cell_type,tissue_type,Gtex
SRR22283285,,,,Whole blood,Blood - Whole Blood
SRR22283286,,,,Whole blood,Blood - Whole Blood
SRR22283287,,,,Whole blood,Blood - Whole Blood
SRR22283288,,,,Whole blood,Blood - Whole Blood
SRR22283289,,,,Whole blood,Blood - Whole Blood
SRR22283290,,,,Whole blood,Blood - Whole Blood
SRR22283228,,,,Whole blood,Blood - Whole Blood
SRR22283291,,,,Whole blood,Blood - Whole Blood
SRR22283292,,,,Whole blood,Blood - Whole Blood
SRR25007129,,,,Whole blood,Blood - Whole Blood
SRR25007130,,,,Whole blood,Blood - Whole Blood
SRR22283229,,,,Whole blood,Blood - Whole Blood
SRR22283230,,,,Whole blood,Blood - Whole Blood
SRR24709841,,,,Basilic vein,Blood Vessel
SRR24709843,,,,Basilic vein,Blood Vessel
SRR24709845,,,,Basilic vein,Blood Vessel
SRR24709847,,,,Cephalic vein,Blood Vessel
SRR24709848,,,,Basilic vein,Blood Vessel
SRR24709850,,,,Basilic vein,Blood Vessel
SRR24709851,,,,Basilic vein,Blood Vessel
SRR24709860,,,,Cephalic vein,Blood Vessel
SRR24709842,,,,Basilic vein,Blood Vessel
SRR24709849,,,,Basilic vein,Blood Vessel
SRR24709852,,,,Basilic vein,Blood Vessel
SRR24709853,,,,Basilic vein,Blood Vessel
SRR24709854,,,,Basilic vein,Blood Vessel
SRR24709859,,,,Basilic vein,Blood Vessel
SRR24709844,,,,Basilic vein,Blood Vessel
SRR24709846,,,,Basilic vein,Blood Vessel
SRR24709855,,,,Basilic vein,Blood Vessel
SRR24709856,,,,Basilic vein,Blood Vessel
SRR24709857,,,,Basilic vein,Blood Vessel
SRR24709858,,,,Basilic vein,Blood Vessel
ERR1514446,,,osteocyte,,Bone - Osteocyte
ERR1514455,,,osteocyte,,Bone - Osteocyte
ERR1514466,,,osteocyte,,Bone - Osteocyte
ERR1514471,,,osteocyte,,Bone - Osteocyte
ERR1514472,,,osteocyte,,Bone - Osteocyte
ERR1514473,,,osteocyte,,Bone - Osteocyte
ERR1514474,,,osteocyte,,Bone - Osteocyte
ERR1514470,,,osteocyte,,Bone - Osteocyte
ERR2022828,,,,,Brain
SRR11927134,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927136,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927139,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927143,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927147,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927152,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927156,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927158,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927159,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927160,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927164,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927132,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927135,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927137,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927148,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927149,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927151,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927153,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927154,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927157,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927161,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927166,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927168,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927169,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927133,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927138,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927140,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927141,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927142,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927144,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927145,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927146,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927150,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927155,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927162,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927163,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927165,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR11927167,,,,Lateral Amygdala (human brain tissue),Brain - Amygdala
SRR1424663,,,,,Brain - Angular Gyrus
SRR1424678,,,,,Brain - Angular Gyrus
SRR1424692,,,,,Brain - Angular Gyrus
SRR1424669,,,,,Brain - Angular Gyrus
SRR13485929,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485933,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485936,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485950,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485954,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485956,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485957,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485960,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485961,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485964,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485966,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485968,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485970,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485972,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485973,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485975,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485924,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485926,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485930,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485934,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485937,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485938,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485940,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
SRR13485941,,,,Anterior Cingulate cortex (human brain tissue),Brain - Anterior cingulate cortex
