run_accession	first_public	study_title	project_name	study_accession	sample_accession	sample_title	sample_description	library_name	library_selection	library_source	library_strategy	library_construction_protocol	library_layout	rna_integrity_num	instrument_platform	rt_prep_protocol	cell_line	cell_type	tissue_lib	tissue_type	host_phenotype	isolate	age	host_body_site	sampling_site	base_count	description	sample_metadata_ncbi	study_metadata_ncbi
SRR22301780	2023-01-02	Placental Inflammation Significantly Correlates with Reduced Risk for Retinopathy of Prematurity	Placental Inflammation Significantly Correlates with Reduced Risk for Retinopathy of Prematurity	PRJNA901967	SAMN31742733	18942X11 38A_P	18942X11 38A_P	GSM6733294	cDNA	TRANSCRIPTOMIC	RNA-Seq	RNA was harvested using Qiagen ALL PREP Universal Whole transcriptome expression analysis was performed on fetal surface placental tissues using the Illumina Stranded Total RNA Kit with Ribo-Zero Plus per the standard protocol	PAIRED		ILLUMINA			placental villous tissue		Placenta						11019258220	Illumina NovaSeq 6000 sequencing: GSM6733294: 18942X11 38A_P Homo sapiens RNA-Seq	SRS15767980SAMN31742733GSM673329418942X11 38A_P9606Homo sapiensbioproject901967PRJNA901967source_namePlacentatissuePlacentacell typeplacental villous tissueSexfemalepreeclampsiaYropN	SRP408092PRJNA901967GSE218039Placental Inflammation Significantly Correlates with Reduced Risk for Retinopathy of PrematurityRetinopathy of prematurity (ROP), a blinding condition affecting preterm infants, accounts for up to 40% of all childhood blindness worldwide. ROP is an interruption of retinal vascular maturation, which is physiologically complete at full term and thus ongoing at the time of preterm birth. Although ROP demonstrates delayed onset following preterm birth, representing a window for therapeutic intervention, we cannot cure or prevent this disease.  The in-utero environment, including placental function, is increasingly recognized for contributions to preterm infant disease risk. Herein, we examine the clinical associations between presence and severity of acute placental inflammation to ROP risk. Using logistic regression, we find a protective relationship between presence and severity of acute placental inflammation and preterm infant development of ROP. This is most significant for infants born in the absence of maternal preeclampsia. Further, we examine the underlying molecular mediators that may inform this protective paradigm. Adopting a candidate approach analyzing proteins with described ROP risk associations, we find that placental HTRA1 and FABP4 protein expression is significantly decreased within placental tissues characterized by acute inflammation. Additionally, HTRA1 and VEGFA demonstrate inverse longitudinal trends within the peripheral circulation for infants born in the presence compared to absence of acute placental inflammation. An agnostic approach, including whole transcriptome and differential methylation placental analysis, identifies novel mediators and pathways that may underly protection. Taken together, these data build on emerging literature showing disparate associations between acute placental inflammation and ROP development within preeclamptic or non-preeclamptic preterm infant populations and identifies novel placental mechanisms that may inform postnatal risk associations in preterm infants. Overall design: Comparative gene expression profiling analysis of RNA-seq data for human placental tissue relative to retinopathy of prematurity clinical outcomes.GSE218039pubmed36822266
SRR15013683	2022-11-12	A resource for integrated genomic analysis of the human liver	A resource for integrated genomic analysis of the human liver	PRJNA742971	SAMN19988511	SJLB749	SJLB749		cDNA	TRANSCRIPTOMIC	RNA-Seq	Total RNA was extracted from tissue homogenized in TRIzol reagent, followed by Qiagen RNAeasy cleanup mRNA libraries were prepared using the Illuminia TruSeq Stranded Total RNA with Ribo-Zero protocol	PAIRED		ILLUMINA					liver						4520801952	Illumina HiSeq 2000 sequencing: GSM5412315: SJLB749 Homo sapiens RNA-Seq	SRS9359652SAMN19988511GSM5412315SJLB7499606Homo sapiensbioproject742971PRJNA742971source_nameliver tissuetissueliverSexfemaleage49	SRP326468PRJNA742971GSE179250A resource for integrated genomic analysis of the human liverIn this study, we generated whole-transcriptome RNA-Seq from n=192 genotyped liver samples and used these data with existing data from the GTEx Project (RNA-Seq; PMID: 32913098) and previous liver eQTL (microarray; GSE32504, GSE25935, GSE9588, and GSE24293) studies to create an enhanced transcriptomic sequence resource in the human liver. Analyses of genotype-expression associations show pronounced enrichment of associations with genes of drug response.  The associations are primarily consistent across the two RNA-Seq datasets, with some modest variation, indicating the importance of obtaining multiple datasets to produce a robust resource. We further used an empirical Bayesian model to compare eQTL patterns in liver and an additional 20 GTEx tissues, finding that MHC genes, and especially class II genes, are enriched for liver-specific eQTL patterns. To illustrate the utility of the resource to augment GWAS analysis with small sample sizes, we developed a novel meta-analysis technique to combine several liver eQTL data sources. We also illustrate its application using a transcriptome-enhanced re-analysis of a study of neutropenia in pancreatic cancer patients. The associations of genotype with liver expression, including splice variation and its genetic associations, are made available in a searchable genome browser. Overall design: RNA-seq of 192 human liver tissue samplesGSE179250pubmed36071064
SRR14362368	2021-11-17	Ischemic heart disease selectively modifies the right atrial appendage transcriptome	Ischemic heart disease selectively modifies the right atrial appendage transcriptome	PRJNA726237	SAMN18926140	(ICA)-positive IHD undergoing coronary artery bypass surgery, 18-09-15-AM	(ICA)-positive IHD undergoing coronary artery bypass surgery, 18-09-15-AM		cDNA	TRANSCRIPTOMIC	RNA-Seq	During cardiac surgery, a biopsy sample of the RAA was collected from each patient. Tissue samples were collected at the cannulation site, the insertion site of the venous line for the heart–lung machine. Dissected biopsies were briefly washed in ice-cold sterile saline, cut into 0.5 cm thick tissue pieces, and immersed into 3 ml of RNAlater (Sigma Aldrich, Merck KGaA, Darmstadt, Germany) to inactivate RNAses and stabilize RNA. Samples were let to stabilize at +4°C for one day and stored at under -70°C until processing. Total RNA was isolated from RAA biopsies via initial ice-cold tissue homogenization using a Precellys 24 tissue homogenizer equipped with the Cryolys cooling option (Bertin Technologies SAS, Montigny-le-Bretonneux, France) followed by RNA isolation using combined QIAzol / chloroform extraction and Qiagen RNeasy mini spin column purification according to the manufacturer's instructions (Qiagen, Venlo, Netherlands). The sample RNA integrity number (RIN mean 7.95 ± 0.55 range 7.1–9.0) and total quantity (mean 3069.55 ± 1141.08 ng range 867.8–6855.0 ng) was evaluated in the Functional Genomics Unit (FuGU, University of Helsinki, Helsinki, Finland). Isolated total RNA was stored at under -70oC until sequencing. Ribosomal RNA was removed using the Ribo-ZeroTM Magnetic kit (Illumina Inc, San Diego, CA). RNA libraries were prepared for sequencing using standard Illumina protocols	PAIRED		ILLUMINA					Heart (Atrial Appendage)						13221533200	Illumina HiSeq 4000 sequencing: GSM5271545: (ICA)-positive IHD undergoing coronary artery bypass surgery, 18-09-15-AM Homo sapiens RNA-Seq	SRS8804950SAMN18926140GSM5271545(ICA)-positive IHD undergoing coronary artery bypass surgery, 18-09-15-AM9606Homo sapiensbioproject726237PRJNA726237source_nameHeart (Atrial Appendage)tissueHeart (Atrial Appendage)disease state(ICA)-positive	SRP317431PRJNA726237GSE173594Ischemic heart disease selectively modifies the right atrial appendage transcriptomePurpose: This study aims to identify IHD-associated signature RNAs from the atrial myocardium and evaluate their ability to reflect disease severity or cardiac surgery outcomes. Methods: We collected right atrial appendage (RAA) biopsies from 40 patients with invasive coronary angiography (ICA)-positive IHD undergoing coronary artery bypass surgery and from 8 patients ICA-negative for IHD (non-IHD) undergoing valvular surgery. Following RNA sequencing, RAA transcriptomes were analyzed against those 429 donors from the GTEx project without cardiac background. Results: The IHD transcriptome was characterized using repressed RNA expressions in pathways for cell–cell contacts and mitochondrial dysfunction. Specifically, we identified the increased expressions of the CSRNP3, FUT10, SHD, NAV2-AS4, and hsa-mir-181 genes to correlate with the complexity of coronary artery obstructions or with a functional cardiac benefit from bypass surgery. Conclusions: Our results provide an atrial myocardium–focused insight into IHD signature RNAs. The specific gene expression changes we characterized here pave the way for disease mechanism–based identification of biomarkers allowing for the early detection and treatment of IHD. Overall design: Atrial appendage mRNA profiles of invasive coronary angiography (ICA)-positive IHD undergoing coronary artery bypass surgery and ICA-negative for IHD (non-IHD) undergoing valvular surgery.GSE173594pubmed34926599
SRR15013478	2022-11-12	A resource for integrated genomic analysis of the human liver	A resource for integrated genomic analysis of the human liver	PRJNA742971	SAMN19988493	SJLB783	SJLB783		cDNA	TRANSCRIPTOMIC	RNA-Seq	Total RNA was extracted from tissue homogenized in TRIzol reagent, followed by Qiagen RNAeasy cleanup mRNA libraries were prepared using the Illuminia TruSeq Stranded Total RNA with Ribo-Zero protocol	PAIRED		ILLUMINA					liver						2673930432	Illumina HiSeq 2000 sequencing: GSM5412332: SJLB783 Homo sapiens RNA-Seq	SRS9359668SAMN19988493GSM5412332SJLB7839606Homo sapiensbioproject742971PRJNA742971source_nameliver tissuetissueliverSexmaleage25	SRP326468PRJNA742971GSE179250A resource for integrated genomic analysis of the human liverIn this study, we generated whole-transcriptome RNA-Seq from n=192 genotyped liver samples and used these data with existing data from the GTEx Project (RNA-Seq; PMID: 32913098) and previous liver eQTL (microarray; GSE32504, GSE25935, GSE9588, and GSE24293) studies to create an enhanced transcriptomic sequence resource in the human liver. Analyses of genotype-expression associations show pronounced enrichment of associations with genes of drug response.  The associations are primarily consistent across the two RNA-Seq datasets, with some modest variation, indicating the importance of obtaining multiple datasets to produce a robust resource. We further used an empirical Bayesian model to compare eQTL patterns in liver and an additional 20 GTEx tissues, finding that MHC genes, and especially class II genes, are enriched for liver-specific eQTL patterns. To illustrate the utility of the resource to augment GWAS analysis with small sample sizes, we developed a novel meta-analysis technique to combine several liver eQTL data sources. We also illustrate its application using a transcriptome-enhanced re-analysis of a study of neutropenia in pancreatic cancer patients. The associations of genotype with liver expression, including splice variation and its genetic associations, are made available in a searchable genome browser. Overall design: RNA-seq of 192 human liver tissue samplesGSE179250pubmed36071064
SRR15013587	2022-11-12	A resource for integrated genomic analysis of the human liver	A resource for integrated genomic analysis of the human liver	PRJNA742971	SAMN19988449	SJLB380	SJLB380		cDNA	TRANSCRIPTOMIC	RNA-Seq	Total RNA was extracted from tissue homogenized in TRIzol reagent, followed by Qiagen RNAeasy cleanup mRNA libraries were prepared using the Illuminia TruSeq Stranded Total RNA with Ribo-Zero protocol	PAIRED		ILLUMINA					liver						4718030688	Illumina HiSeq 2000 sequencing: GSM5412222: SJLB380 Homo sapiens RNA-Seq	SRS9359554SAMN19988449GSM5412222SJLB3809606Homo sapiensbioproject742971PRJNA742971source_nameliver tissuetissueliverSexmaleage9	SRP326468PRJNA742971GSE179250A resource for integrated genomic analysis of the human liverIn this study, we generated whole-transcriptome RNA-Seq from n=192 genotyped liver samples and used these data with existing data from the GTEx Project (RNA-Seq; PMID: 32913098) and previous liver eQTL (microarray; GSE32504, GSE25935, GSE9588, and GSE24293) studies to create an enhanced transcriptomic sequence resource in the human liver. Analyses of genotype-expression associations show pronounced enrichment of associations with genes of drug response.  The associations are primarily consistent across the two RNA-Seq datasets, with some modest variation, indicating the importance of obtaining multiple datasets to produce a robust resource. We further used an empirical Bayesian model to compare eQTL patterns in liver and an additional 20 GTEx tissues, finding that MHC genes, and especially class II genes, are enriched for liver-specific eQTL patterns. To illustrate the utility of the resource to augment GWAS analysis with small sample sizes, we developed a novel meta-analysis technique to combine several liver eQTL data sources. We also illustrate its application using a transcriptome-enhanced re-analysis of a study of neutropenia in pancreatic cancer patients. The associations of genotype with liver expression, including splice variation and its genetic associations, are made available in a searchable genome browser. Overall design: RNA-seq of 192 human liver tissue samplesGSE179250pubmed36071064
SRR25387928	2023-12-22	Race-specific coregulatory and transcriptomic profiles associated with DNA methylation and androgen receptor in prostate cancer [RNA-Seq]	Race-specific coregulatory and transcriptomic profiles associated with DNA methylation and androgen receptor in prostate cancer [RNA-Seq]	PRJNA997353	SAMN36678720	PT-00231030_NT_EA	PT-00231030_NT_EA	GSM7657558	cDNA	TRANSCRIPTOMIC	RNA-Seq	Illumina TruSeq Stranded Total RNA Library Prep Kit with Ribo-Zero Gol RNA libraries were prepared for sequencing using standard Illumina protocols	PAIRED		ILLUMINA					prostate						4855172752	Illumina HiSeq 2500 sequencing: GSM7657558: PT-00231030_NT_EA Homo sapiens RNA-Seq	SRS18392024SAMN36678720GSM7657558PT-00231030_NT_EA9606Homo sapiensbioproject997353PRJNA997353source_nameAdjacent TumortissueprostateraceEAgeo_loc_namemissingcollection_datemissing	SRP450821PRJNA997353GSE237995Race-specific coregulatory and transcriptomic profiles associated with DNA methylation and androgen receptor in prostate cancer [RNA-Seq]Prostate cancer incidence and related mortality are disproportionately higher in African American (AA) men than European American (EA) men, but the molecular mechanisms contributing to racial disparities are not fully elucidated. To identify molecular factors that can contribute to disease biology in prostate cancer from AA and EA men, we utilized a multi-omics approach to measure and integrate DNA methylation with gene expression changes. We compared and contrasted results from adjacent non-tumor and tumor tissues from AA and EA men. We found that hypermethylated regions are enriched for PRC2 and H3K27me3 pathways and EZH2/SUZ12 cofactors in a race-independent manner. On the other hand, hypomethylated regions in prostate tumors from AA men were enriched for olfactory/ribosomal pathways as well as distinct cofactors such as CTCF and KMT2A. DNA methylation at transcription start sites and 5'-UTR at GATA3, an androgen receptor (AR) coregulator, is associated with decreased gene expression in prostate tumors of AA men. Our analysis also showed an inverse correlation between DNA methylation and RNA expression of AR transcriptional targets, such as TRIM63, in prostate tumors of AA men. Our observations suggest a dysregulation of the AR signaling pathway in prostate cancer from AA men. To determine whether targeting AR results in race-specific gene expression changes, we utilized a prostate-cancer-specific Boolean network. Our simulation revealed that prolonged AR inhibition results in significant dysregulation in TGF-ß, IDH1, and cell cycle pathways in prostate cancer of AA men. We expanded our observation of gene expression changes in the Boolean network and investigated RNA-sequencing data to better understand overall transcriptional alterations occurring in prostate tumors from AA and EA men. We found that gene expression changes related to microtubules, a subset of immune-related, and TMPRSS2-fusion pathways were dysregulated in prostate tumors of AA men and corresponded with progression-free survival of AA men. Altogether, the current study dissects complex signaling networks that are clinically actionable in prostate cancer from AA and EA men. Overall design: 58 AA (31 Tumors and 27 adjacent) and 63 EA (31 Tumors and 32 adjacent) collected samplesGSE237995pubmed38566104
ERR2022830	2017-07-04	Intergenic Disease-associated Regions are Abundant in Novel Regulatory Transcripts	Intergenic Disease-associated Regions are Abundant in Novel Regulatory Transcripts	PRJEB21619	SAMEA104150461	Colon	Protocols: Normal human tissue RNA was obtained from the FirstChoice Tissue Panel (Ambion AM6000) and Human Breast Total RNA (Ambion AM6952). Melanoma RNA was obtained from patient cell lines, including 3 originating from metastasized stage IV melanoma (A-series) and 10 originating from resected lymph nodes from patients with stage 3 disease (C-series. RNA was extracted with RNeasy columns (Qiagen). RNA was extracted with RNeasy columns (Qiagen). RNA was DNAse treated with TurboDNase (Life Technologies), confirmed DNA-free, RNA integrity was confirmed by Agilent 2100 Bioanalyzer (Agilent Technologies). rRNA depletion (Ribo-Zero™ (Epicentre)) was performed on 5μg of total RNA. ERCC RNA Spike-In Control mix 1 or mix 2 (Life Technologies) were added to ribodepleted RNA to a final dilution of 1/100. Libraries were prepared with the TruSeq Stranded mRNA Sample Preparation Kit (Illumina) and 9-12 cycles of pre-capture LM-PCR performed as required. Multiplex library pools were created by mixing equal amounts of 5 pre-capture sample libraries and capture hybridization performed on 1 μg of the pooled library. Melanoma A-series samples were each randomly assigned to one of three capture hybridizations to ensure any expression differences between the A and C-series samples were not due to an A-series batch effect. Post-capture LMPCR was performed for 17 cycles.	Colon_p	RANDOM PCR	TRANSCRIPTOMIC	RNA-Seq	Normal human tissue RNA was obtained from the FirstChoice Tissue Panel (Ambion AM6000) and Human Breast Total RNA (Ambion AM6952). Melanoma RNA was obtained from patient cell lines, including 3 originating from metastasized stage IV melanoma (A-series) and 10 originating from resected lymph nodes from patients with stage 3 disease (C-series. RNA was extracted with RNeasy columns (Qiagen). RNA was extracted with RNeasy columns (Qiagen). RNA was DNAse treated with TurboDNase (Life Technologies), confirmed DNA-free, RNA integrity was confirmed by Agilent 2100 Bioanalyzer (Agilent Technologies). rRNA depletion (Ribo-Zero™ (Epicentre)) was performed on 5μg of total RNA. ERCC RNA Spike-In Control mix 1 or mix 2 (Life Technologies) were added to ribodepleted RNA to a final dilution of 1/100. Libraries were prepared with the TruSeq Stranded mRNA Sample Preparation Kit (Illumina) and 9-12 cycles of pre-capture LM-PCR performed as required. Multiplex library pools were created by mixing equal amounts of 5 pre-capture sample libraries and capture hybridization performed on 1 μg of the pooled library. Melanoma A-series samples were each randomly assigned to one of three capture hybridizations to ensure any expression differences between the A and C-series samples were not due to an A-series batch effect. Post-capture LMPCR was performed for 17 cycles.	PAIRED		ILLUMINA											2812642190	Illumina HiSeq 2000 paired end sequencing: Intergenic Disease-associated Regions are Abundant in Novel Regulatory Transcripts	ERS1809479SAMEA104150461Colon9606Homo sapiensProtocols: Normal human tissue RNA was obtained from the FirstChoice Tissue Panel (Ambion AM6000) and Human Breast Total RNA (Ambion AM6952). Melanoma RNA was obtained from patient cell lines, including 3 originating from metastasized stage IV melanoma (A-series) and 10 originating from resected lymph nodes from patients with stage 3 disease (C-series. RNA was extracted with RNeasy columns (Qiagen). RNA was extracted with RNeasy columns (Qiagen). RNA was DNAse treated with TurboDNase (Life Technologies), confirmed DNA-free, RNA integrity was confirmed by Agilent 2100 Bioanalyzer (Agilent Technologies). rRNA depletion (Ribo-Zero™ (Epicentre)) was performed on 5μg of total RNA. ERCC RNA Spike-In Control mix 1 or mix 2 (Life Technologies) were added to ribodepleted RNA to a final dilution of 1/100. Libraries were prepared with the TruSeq Stranded mRNA Sample Preparation Kit (Illumina) and 9-12 cycles of pre-capture LM-PCR performed as required. Multiplex library pools were created by mixing equal amounts of 5 pre-capture sample libraries and capture hybridization performed on 1 μg of the pooled library. Melanoma A-series samples were each randomly assigned to one of three capture hybridizations to ensure any expression differences between the A and C-series samples were not due to an A-series batch effect. Post-capture LMPCR was performed for 17 cycles.ENA first public2017-07-04ENA last update2017-07-03External IdSAMEA104150461INSDC center aliasGarvan Institute of Medical ResearchINSDC center nameGarvan Institute of Medical ResearchINSDC first public2017-07-04T17:02:27ZINSDC last update2017-07-03T09:35:26ZINSDC statuspublicSubmitter IdE-MTAB-4519:Colonbroker nameArrayExpresscommon namehumandiseasenormalorganism partcolonsample nameE-MTAB-4519:Colon	ERP023890PRJEB21619E-MTAB-4519E-MTAB-4519Intergenic Disease-associated Regions are Abundant in Novel Regulatory TranscriptsAnalysis of transcriptomes from 21 tissues, 13 melanoma samples and 7 breast cancer cell lines, enriched for transcripts from haploblocks with intronic and intergenic GWAS SNPs using CaptureSeq.Analysis of transcriptomes from 21 tissues, 13 melanoma samples and 7 breast cancer cell lines, enriched for transcripts from haploblocks with intronic and intergenic GWAS SNPs using CaptureSeq.E-MTAB-4519 in ArrayExpresshttp://www.ebi.ac.uk/arrayexpress/experiments/E-MTAB-4519ENA-FIRST-PUBLIC2017-07-03ENA-LAST-UPDATE2017-07-03ArrayExpressE-MTAB-4519
SRR22301782	2023-01-02	Placental Inflammation Significantly Correlates with Reduced Risk for Retinopathy of Prematurity	Placental Inflammation Significantly Correlates with Reduced Risk for Retinopathy of Prematurity	PRJNA901967	SAMN31742735	18942X9 639	18942X9 639	GSM6733292	cDNA	TRANSCRIPTOMIC	RNA-Seq	RNA was harvested using Qiagen ALL PREP Universal Whole transcriptome expression analysis was performed on fetal surface placental tissues using the Illumina Stranded Total RNA Kit with Ribo-Zero Plus per the standard protocol	PAIRED		ILLUMINA			placental villous tissue		Placenta						11160580328	Illumina NovaSeq 6000 sequencing: GSM6733292: 18942X9 639 Homo sapiens RNA-Seq	SRS15767978SAMN31742735GSM673329218942X9 6399606Homo sapiensbioproject901967PRJNA901967source_namePlacentatissuePlacentacell typeplacental villous tissueSexmalepreeclampsiaYropY	SRP408092PRJNA901967GSE218039Placental Inflammation Significantly Correlates with Reduced Risk for Retinopathy of PrematurityRetinopathy of prematurity (ROP), a blinding condition affecting preterm infants, accounts for up to 40% of all childhood blindness worldwide. ROP is an interruption of retinal vascular maturation, which is physiologically complete at full term and thus ongoing at the time of preterm birth. Although ROP demonstrates delayed onset following preterm birth, representing a window for therapeutic intervention, we cannot cure or prevent this disease.  The in-utero environment, including placental function, is increasingly recognized for contributions to preterm infant disease risk. Herein, we examine the clinical associations between presence and severity of acute placental inflammation to ROP risk. Using logistic regression, we find a protective relationship between presence and severity of acute placental inflammation and preterm infant development of ROP. This is most significant for infants born in the absence of maternal preeclampsia. Further, we examine the underlying molecular mediators that may inform this protective paradigm. Adopting a candidate approach analyzing proteins with described ROP risk associations, we find that placental HTRA1 and FABP4 protein expression is significantly decreased within placental tissues characterized by acute inflammation. Additionally, HTRA1 and VEGFA demonstrate inverse longitudinal trends within the peripheral circulation for infants born in the presence compared to absence of acute placental inflammation. An agnostic approach, including whole transcriptome and differential methylation placental analysis, identifies novel mediators and pathways that may underly protection. Taken together, these data build on emerging literature showing disparate associations between acute placental inflammation and ROP development within preeclamptic or non-preeclamptic preterm infant populations and identifies novel placental mechanisms that may inform postnatal risk associations in preterm infants. Overall design: Comparative gene expression profiling analysis of RNA-seq data for human placental tissue relative to retinopathy of prematurity clinical outcomes.GSE218039pubmed36822266
SRR10192689	2020-05-12	Hippocampal Subfield Transcriptome Analysis in Schizophrenia Psychosis	Hippocampal Subfield Transcriptome Analysis in Schizophrenia Psychosis	PRJNA574470	SAMN12858882	DG_CTL_0844	DG_CTL_0844		cDNA	TRANSCRIPTOMIC	RNA-Seq	Total RNA was extracted and purified using a protocol combining Trizol and chloroform extraction, the GeneJET RNA Purification Kit, and a motorized mini-pestle vibrator for tissue homogenization. RNA purity and concentration were assessed on the Nanodrop spectrophotometer and Agilent2100 Bioanalyzer for RNA Integrity number (RIN) determination. Total RNA was rRNA ribo-depleted, and strand-specific cDNA libraries were synthesized before sequencing on an Illumina HiSeq 2500 sequencer. Stranded, single-end 50-base-pair reads were generated for the preliminary CA3 cohort data. Stranded paired-end 100-base-pair reads were generated for additional cohorts. Libraries and sequencing were performed at the UTSW McDermott Sequencing Core and UTSW Genomics & Microarray Core.	PAIRED		ILLUMINA					hippocampus						20118682000	Illumina HiSeq 2500 sequencing: GSM4098953: DG_CTL_0844 Homo sapiens RNA-Seq	SRS5444555SAMN12858882GSM4098953DG_CTL_08449606Homo sapiensbioproject574470PRJNA574470source_namehippocampusoriginal_id0-844diagnosiscontrolhippocampal_subfieldDGgendermaleage51pmi22.5rin4.9drugOFFtissuehippocampus	SRP223448PRJNA574470GSE138082Hippocampal Subfield Transcriptome Analysis in Schizophrenia PsychosisWe have previously demonstrated functional and molecular changes in hippocampal subfields in individuals with schizophrenia (SZ) psychosis associated with hippocampal excitability. In this study, we use RNA-seq and assess global transcriptome changes in the hippocampal subfields, DG, CA3, and CA1 from individuals with SZ psychosis and controls to elucidate subfield-relevant molecular changes. We also examine changes in gene expression due to antipsychotic medication in the hippocampal subfields from our SZ ON- and OFF-antipsychotic medication cohort. We identify unique subfield-specific molecular profiles in schizophrenia postmortem samples compared to controls, implicating astrocytes in DG, immune mechanisms in CA3, and synaptic scaling in CA1. We show a unique pattern of subfield-specific effects by antipsychotic medication on gene expression levels with scant overlap of genes differentially expressed by SZ disease effect versus medication effect. These hippocampal subfield changes could provide the basis for previously observed hippocampal SZ pathology and explain the lack of full efficacy of conventional antipsychotic medication on SZ symptomatology. With further characterization, the identified distinct molecular profiles of the DG, CA3, and CA1 in SZ psychosis may serve to identify potential hippocampal-based therapeutic targets. Overall design: We compared hippocampal subfield-specific transcriptome profiling from individuals with schizophrenia and healty controls. We analyzed genome-wide expression levels in adult dentate gyrus (DG), cornu Ammonis 1 (CA1) and cornu Ammonis 3 (CA3) from 13 individuals with schizophrenia and 13 healthy controls. Gene expression was balanced for technical, biological, and surrogate covariates.GSE138082pubmed32152472
SRR7767510	2018-09-26	Determination of the Forkhead box A2 (FOXA2) Cistrome in the Human Endometrium	Determination of the Forkhead box A2 (FOXA2) Cistrome in the Human Endometrium	PRJNA488467	SAMN09934019	THPR001A	THPR001A		cDNA	TRANSCRIPTOMIC	RNA-Seq	Qiagen rneasy kit Illumina Tru-seq Stranded Ribo-zero	PAIRED		ILLUMINA					endometrium						5602753800	Illumina HiSeq 2500 sequencing: GSM3360747: THPR001A Homo sapiens RNA-Seq	SRS3725131SAMN09934019GSM3360747THPR001A9606Homo sapiensbioproject488467PRJNA488467source_nameendometriumtissueendometriumphaseproliferative	SRP159099PRJNA488467GSE119209Determination of the Forkhead box A2 (FOXA2) Cistrome in the Human EndometriumUterine glands are central to endometrial function and fertility, however the mechanisms regulating their development and function are not well understood. The pioneer forkhead box A2 (FOXA2) transcription factor is distinctively expressed in the glands of the endometrium in both the human and mouse uterus. Studies in mice established that FOXA2 is a critical regulator of gland development in the neonatal uterus as well as differentiated gland function in the adult uterus. An integrative approach was used here to define the FOXA2 cistrome in the human endometrium. Genome-wide mapping of FOXA2 binding sites by chromatin immunoprecipitation sequencing (ChIP-Seq) was performed on proliferative (P) and mid-secretory (MS) phase endometrium and combined with the transcriptome determined by RNA sequencing (RNA-Seq). Distinctive binding of FOXA2 was observed between the P and MS endometrium, and FOXA2 binding intervals were enriched for different transcription factor binding motifs between the phases of endometrium. Pathway analysis revealed different biological processes regulated by FOXA2 bound genes in the P and MS endometrium. Thus, FOXA2 is proposed to regulate gene expression in concert with other transcription factors to influence gland function in a cycle phase-dependent manner. Further analysis identified potential FOXA2 regulated genes that influence endometrial growth, uterine receptivity, and stromal cell decidualization. This analysis of the FOXA2 cistrome provides a foundation essential to understanding fundamental aspects of uterine gland development, differentiation, function, and disease. Overall design: (6) proliferative phase and (5) mid-secretory phase human endometrium biopsiesGSE119209
